taxon	sequenceID	Pubmed ID	length	gb_segment	name	full_name	lab_construct	isolate	sample_date	place_sampled	country	collection_year	host_sci_name
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB002469	AB002469	1388016	918	7	ICV	Influenza C virus (C/Yamagata/1/88)	-	-	-	-	-	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB283001	AB283001	17537859	935	7	ICV	Influenza C virus (C/Ann Arbor/1/50)	-	C/Ann Arbor/1/50	-	-	USA	1950	-
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985616	AB985616	-	862	7	ICV	Influenza C virus (C/Leyte/1/2011)	-	-	-	Leyte	Philippines: Leyte	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985617	AB985617	-	862	7	ICV	Influenza C virus (C/Leyte/2/2011)	-	-	-	Leyte	Philippines: Leyte	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985618	AB985618	-	862	7	ICV	Influenza C virus (C/Leyte/3/2011)	-	-	-	Leyte	Philippines: Leyte	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985619	AB985619	-	862	7	ICV	Influenza C virus (C/Sendai/TU1/2008)	-	-	-	Miyagi, Sendai	Japan: Miyagi, Sendai	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985620	AB985620	-	862	7	ICV	Influenza C virus (C/Sendai/TU2/2008)	-	-	-	Miyagi, Sendai	Japan: Miyagi, Sendai	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985621	AB985621	-	862	7	ICV	Influenza C virus (C/Sendai/TU3/2008)	-	-	-	Miyagi, Sendai	Japan: Miyagi, Sendai	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985622	AB985622	-	862	7	ICV	Influenza C virus (C/Sendai/TU5/2008)	-	-	-	Miyagi, Sendai	Japan: Miyagi, Sendai	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985623	AB985623	-	862	7	ICV	Influenza C virus (C/Sendai/TU1/2012)	-	-	-	Miyagi, Sendai	Japan: Miyagi, Sendai	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985624	AB985624	-	862	7	ICV	Influenza C virus (C/Sendai/TU2/2012)	-	-	-	Miyagi, Sendai	Japan: Miyagi, Sendai	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985625	AB985625	-	862	7	ICV	Influenza C virus (C/Biliran/1/2013)	-	-	-	Biliran	Philippines: Biliran	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985626	AB985626	-	862	7	ICV	Influenza C virus (C/Biliran/2/2013)	-	-	-	Biliran	Philippines: Biliran	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985627	AB985627	-	862	7	ICV	Influenza C virus (C/Biliran/3/2013)	-	-	-	Biliran	Philippines: Biliran	-	Homo sapiens
alignment/AL_ICV_SEG7/member/ncbi-icv-nuccore/AB985628	AB985628	-	862	7	ICV	Influenza C virus (C/Leyte/1/2013)	-	-	-	Leyte	Philippines: Leyte	-	Homo sapiens
