strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_region	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts																							
C/Vietnam/1290/2014	TRUE	7	2014	APR	16	Homo sapiens	nasopharyngeal swab	Viet Nam	NULL	MH828694	MH828693	MH828692	MH828688	MH828690	MH828689	MH828691	1	1	1	1	1	1	1																							
C/Iwate/1/2016	TRUE	7	2016	-	-	Homo sapiens	-	Japan	Iwate	LC327652	LC327653	LC327654	LC327655	LC327656	LC327657	LC327658	1	1	1	1	1	1	1																							
C/Yamagata/3/2005	TRUE	7	2005	SEP	7	Homo sapiens	-	Japan	Yamagata	LC123344	LC123446	LC123548	LC122650	AB684314	LC123842	LC125006	1	1	1	1	1	1	1																							
C/Bovine/Montana/12/2016	TRUE	8	2016	NOV	18	Bos taurus	sick calve's nasal swab	USA	Montana	MH348113	MH348114	MH348115	MH348116	MH348117	MH421868	MH348119	1	1	1	1	1	2	1																							
C/Yamagata/18/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC123335	LC123437	LC123539	LC122644	LC123768	LC123833	LC124997	1	1	1	1	1	1	1																							
C/Singapore/DSO-070203/2006	TRUE	7	2006	DEC	4	Homo sapiens	-	Singapore	NULL	JX963129	JX963125	JX963121	GQ853452	JX963113	JX963109	JX963117	1	1	1	1	1	1	1																							
C/Miyagi/42/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Miyagi	LC123340	LC123442	LC123544	AB252157	LC123773	LC123838	LC125002	1	1	1	1	1	1	1																							
C/canine/China/Guangzhou-2/2020	TRUE	7	2020	-	-	Canis familiaris	nasal swab	China	NULL	OK254901	OK254900	OK254899	OK254895	OK254897	OK254896	OK254898	1	1	1	1	1	1	1																							
C/Biliran/TB4-271/2019	TRUE	7	2019	JUL	8	Homo sapiens	nasal swab	Philippines	Biliran	MZ330943	MZ330942	MZ330941	MZ330937	MZ330939	MZ330938	MZ330940	1	1	1	1	1	1	1																							
C/Yamagata/20/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Yamagata	LC123353	LC123455	LC123557	LC122658	LC123785	LC123851	LC125015	1	1	1	1	1	1	1																							
C/Biliran/TB4-130/2018	TRUE	7	2018	MAR	27	Homo sapiens	nasal swab	Philippines	Biliran	MZ330929	MZ330928	MZ330927	MZ330923	MZ330925	MZ330924	MZ330926	1	1	1	1	1	1	1																							
C/Yamagata/11/88	TRUE	7	1988	-	-	Homo sapiens	-	Japan	Yamagata	LC603646	LC603647	LC603645	LC603641	LC603643	LC603642	LC603644	1	1	1	1	1	1	1																							
C/Yamagata/1/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123364	LC123466	LC123568	LC122667	LC123794	LC123862	LC125026	1	1	1	1	1	1	1																							
C/Yamagata/14/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123368	LC123470	LC123572	LC122670	LC123798	LC123866	LC125030	1	1	1	1	1	1	1																							
C/Scotland/7482/2007	TRUE	7	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	KT835340	KT835336	KT835345	KT835354	KT835357	KT835363	KT835367	1	1	1	1	1	1	1																							
C/Miyagi/20/2002	TRUE	7	2002	-	-	Homo sapiens	-	Japan	Miyagi	LC123329	LC123431	LC123533	LC122641	LC123763	LC123827	LC124991	1	1	1	1	1	1	1																							
C/Fukuoka/1/2005	TRUE	7	2005	-	-	Homo sapiens	-	Japan	Fukuoka	LC123347	LC123449	LC123551	LC122653	LC123779	LC123845	LC125009	1	1	1	1	1	1	1																							
C/Palawan/061/2015	TRUE	7	2015	JUL	3	Homo sapiens	nasal swab	Philippines	Palawan	MZ331006	MZ331005	MZ331004	MZ331000	MZ331002	MZ331001	MZ331003	1	1	1	1	1	1	1																							
C/Biliran/TB5-498/2016	TRUE	7	2016	JUN	29	Homo sapiens	nasal swab	Philippines	Biliran	MZ330971	MZ330970	MZ330969	MZ330965	MZ330967	MZ330966	MZ330968	1	1	1	1	1	1	1																							
C/Tokyo/3/2010	TRUE	7	2010	-	-	Homo sapiens	-	Japan	Tokyo	LC123363	LC123465	LC123567	LC122666	LC123793	LC123861	LC125025	1	1	1	1	1	1	1																							
C/Miyagi/47/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Miyagi	LC123341	LC123443	LC123545	LC122647	LC123774	LC123839	LC125003	1	1	1	1	1	1	1																							
C/Miyagi/12/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Miyagi	LC123338	LC123440	LC123542	AB252156	LC123771	LC123836	LC125000	1	1	1	1	1	1	1																							
C/Tokyo/1/2014	TRUE	7	2014	-	-	Homo sapiens	-	Japan	Tokyo	LC123383	LC123485	LC123587	LC122677	LC123813	LC123881	LC125045	1	1	1	1	1	1	1																							
C/Yamagata/28/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123369	LC123471	LC123573	LC122671	LC123799	LC123867	LC125031	1	1	1	1	1	1	1																							
C/Iwate/2/2016	TRUE	7	2016	-	-	Homo sapiens	-	Japan	Iwate	LC327659	LC327660	LC327661	LC327662	LC327663	LC327664	LC327665	1	1	1	1	1	1	1																							
C/India/P135047/2013	TRUE	7	2013	APR	25	Homo sapiens	TS/NS	India	NULL	KM507552	KM507553	KM507554	KM507555	KM507556	KM507557	KM507558	1	1	1	1	1	1	1																							
C/Biliran/TB2-293/2014	TRUE	7	2014	OCT	2	Homo sapiens	nasal swab	Philippines	Biliran	MZ330908	MZ330907	MZ330906	MZ330902	MZ330904	MZ330903	MZ330905	1	1	1	1	1	1	1																							
C/Yamagata/1/2007	TRUE	7	2007	JAN	17	Homo sapiens	-	Japan	Yamagata	LC123355	LC123457	LC123559	LC122660	AB684315	LC123853	LC125017	1	1	1	1	1	1	1																							
C/Biliran/TB5-536/2016	TRUE	7	2016	JUL	18	Homo sapiens	nasal swab	Philippines	Biliran	MZ330978	MZ330977	MZ330976	MZ330972	MZ330974	MZ330973	MZ330975	1	1	1	1	1	1	1																							
C/Biliran/TB4-067/2017	TRUE	7	2017	JUN	15	Homo sapiens	nasal swab	Philippines	Biliran	MZ330922	MZ330921	MZ330920	MZ330916	MZ330918	MZ330917	MZ330919	1	1	1	1	1	1	1																							
C/Yamagata/29/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC603653	LC603654	LC603652	LC603648	LC603650	LC603649	LC603651	1	1	1	1	1	1	1																							
C/Miyagi/2/2008	TRUE	7	2008	-	-	Homo sapiens	-	Japan	Miyagi	LC123360	LC123462	LC123564	LC122664	LC123791	LC123858	LC125022	1	1	1	1	1	1	1																							
C/Miyagi/3/2010	TRUE	7	2010	-	-	Homo sapiens	-	Japan	Miyagi	LC123362	LC123464	LC123566	LC122665	LC123792	LC123860	LC125024	1	1	1	1	1	1	1																							
C/Scotland/7383/2007	TRUE	7	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	KT835341	KT835337	KT835346	KT835353	KT835356	KT835364	KT835368	1	1	1	1	1	1	1																							
C/Miyagi/2/2005	TRUE	7	2005	-	-	Homo sapiens	-	Japan	Miyagi	LC123345	LC123447	LC123549	LC122651	LC123777	LC123843	LC125007	1	1	1	1	1	1	1																							
