sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	gb_year	gb_month	gb_day	gb_source	gb_lab_host	pubmed_id	length	gb_host	gb_country	gb_place_sampled	m49_country
JQ922305	Influenza D virus (D/swine/Oklahoma/1334/2011)	D/swine/Oklahoma/1334/2011	1	1	-	-	2011	MAR	21	-	-	23408893	2364	Sus scrofa	USA	-	custom-table-row/m49_country/USA
JQ922306	Influenza D virus (D/swine/Oklahoma/1334/2011)	D/swine/Oklahoma/1334/2011	2	2	-	-	2011	MAR	21	-	-	23408893	2330	Sus scrofa	USA	-	custom-table-row/m49_country/USA
JQ922307	Influenza D virus (D/swine/Oklahoma/1334/2011)	D/swine/Oklahoma/1334/2011	3	3	-	-	2011	MAR	21	-	-	23408893	2195	Sus scrofa	USA	-	custom-table-row/m49_country/USA
JQ922308	Influenza D virus (D/swine/Oklahoma/1334/2011)	D/swine/Oklahoma/1334/2011	4	4	DOK	-	2011	MAR	21	-	-	23408893	2049	Sus scrofa	USA	-	custom-table-row/m49_country/USA
JQ922309	Influenza D virus (D/swine/Oklahoma/1334/2011)	D/swine/Oklahoma/1334/2011	5	5	-	-	2011	MAR	21	-	-	23408893	1775	Sus scrofa	USA	-	custom-table-row/m49_country/USA
JQ922310	Influenza D virus (D/swine/Oklahoma/1334/2011)	D/swine/Oklahoma/1334/2011	6	6	-	-	2011	MAR	21	-	-	23408893	1219	Sus scrofa	USA	-	custom-table-row/m49_country/USA
JQ922311	Influenza D virus (D/swine/Oklahoma/1334/2011)	D/swine/Oklahoma/1334/2011	7	7	-	-	2011	MAR	21	-	-	23408893	868	Sus scrofa	USA	-	custom-table-row/m49_country/USA
KT581416	Influenza D virus (D/bovine/Mississippi/C00013N/2014)	D/bovine/Mississippi/C00013N/2014	4	4	D660	-	2014	FEB	7	nasal swab	-	26386554	2049	Bos taurus	USA	Mississippi	custom-table-row/m49_country/USA
KT581417	Influenza D virus (D/bovine/Mississippi/C00014N/2014)	D/bovine/Mississippi/C00014N/2014	4	4	D660	-	2014	FEB	7	nasal swab	-	26386554	2049	Bos taurus	USA	Mississippi	custom-table-row/m49_country/USA
KT581418	Influenza D virus (D/bovine/Mississippi/C00030P/2014)	D/bovine/Mississippi/C00030P/2014	4	4	DOK	-	2014	FEB	19	nasopharyngeal swab	-	26386554	2049	Bos taurus	USA	Mississippi	custom-table-row/m49_country/USA
KY441104	Influenza D virus (D/swine/Guangdong/YS1/2016)	D/swine/Guangdong/YS1/2016	4	4	DOK	-	2016	NOV	11	-	-	28726609	496	Sus scrofa	China	Guangdong	custom-table-row/m49_country/CHN
KY441105	Influenza D virus (D/swine/Guangdong/YS2/2016)	D/swine/Guangdong/YS2/2016	4	4	DOK	-	2016	NOV	11	-	-	28726609	496	Sus scrofa	China	Guangdong	custom-table-row/m49_country/CHN
KY441106	Influenza D virus (D/swine/Guangdong/P8/2016)	D/swine/Guangdong/P8/2016	4	4	DOK	-	2016	OCT	8	-	-	28726609	496	Sus scrofa	China	Guangdong	custom-table-row/m49_country/CHN
KY441107	Influenza D virus (D/swine/Guangdong/P14/2016)	D/swine/Guangdong/P14/2016	4	4	DOK	-	2016	OCT	8	-	-	28726609	496	Sus scrofa	China	Guangdong	custom-table-row/m49_country/CHN
KY441108	Influenza D virus (D/swine/Guangdong/PS1/2016)	D/swine/Guangdong/PS1/2016	4	4	DOK	-	2016	OCT	9	-	-	28726609	496	Sus scrofa	China	Guangdong	custom-table-row/m49_country/CHN
KY441109	Influenza D virus (D/swine/Guangdong/U1/2016)	D/swine/Guangdong/U1/2016	4	4	DOK	-	2016	SEP	26	-	-	28726609	496	Sus scrofa	China	Guangdong	custom-table-row/m49_country/CHN
KY441110	Influenza D virus (D/swine/Guangdong/U16/2016)	D/swine/Guangdong/U16/2016	4	4	DOK	-	2016	SEP	26	-	-	28726609	496	Sus scrofa	China	Guangdong	custom-table-row/m49_country/CHN
KY441111	Influenza D virus (D/bovine/Guangdong/LG2/2016)	D/bovine/Guangdong/LG2/2016	4	4	DOK	-	2016	APR	15	-	-	28726609	496	Bos taurus	China	Guangdong, Luogang	custom-table-row/m49_country/CHN
KY441112	Influenza D virus (D/bovine/Guangdong/LG5/2016)	D/bovine/Guangdong/LG5/2016	4	4	DOK	-	2016	APR	15	-	-	28726609	496	Bos taurus	China	Guangdong, Luogang	custom-table-row/m49_country/CHN
KY441113	Influenza D virus (D/bovine/Guangdong/LG9/2016)	D/bovine/Guangdong/LG9/2016	4	4	DOK	-	2016	APR	15	-	-	28726609	496	Bos taurus	China	Guangdong, Luogang	custom-table-row/m49_country/CHN
KY441114	Influenza D virus (D/bovine/Guangdong/QQ1/2016)	D/bovine/Guangdong/QQ1/2016	4	4	DOK	-	2016	MAY	20	-	-	28726609	496	Bos taurus	China	Guangdong	custom-table-row/m49_country/CHN
KY441115	Influenza D virus (D/bovine/Guangdong/QQ4/2016)	D/bovine/Guangdong/QQ4/2016	4	4	DOK	-	2016	MAY	20	-	-	28726609	496	Bos taurus	China	Guangdong	custom-table-row/m49_country/CHN
KY441116	Influenza D virus (D/bovine/Guangdong/QQ7/2016)	D/bovine/Guangdong/QQ7/2016	4	4	DOK	-	2016	MAY	20	-	-	28726609	496	Bos taurus	China	Guangdong	custom-table-row/m49_country/CHN
KY441117	Influenza D virus (D/bovine/Guangdong/QQ12/2016)	D/bovine/Guangdong/QQ12/2016	4	4	DOK	-	2016	MAY	20	-	-	28726609	496	Bos taurus	China	Guangdong	custom-table-row/m49_country/CHN
KY441118	Influenza D virus (D/bovine/Guangdong/NS1/2016)	D/bovine/Guangdong/NS1/2016	4	4	DOK	-	2016	MAR	16	-	-	28726609	496	buffalo	China	Guangdong, Nansha	custom-table-row/m49_country/CHN
KY441119	Influenza D virus (D/bovine/Guangdong/RS1/2016)	D/bovine/Guangdong/RS1/2016	4	4	DOK	-	2016	MAR	25	-	-	28726609	496	Bos taurus	China	Guangdong	custom-table-row/m49_country/CHN
KY441120	Influenza D virus (D/bovine/Guangdong/RS4/2016)	D/bovine/Guangdong/RS4/2016	4	4	DOK	-	2016	MAR	25	-	-	28726609	496	Bos taurus	China	Guangdong	custom-table-row/m49_country/CHN
