strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts
D/swine/Italy/173287-4/2016	TRUE	7	2016	-	-	Sus scrofa	-	Italy	NULL	KX768824	KX768825	KX768826	KX768827	KX768828	KX768829	KX768830	1	1	1	1	1	1	1
D/swine/Italy/268344-2/2015	TRUE	7	2015	-	-	Sus scrofa	-	Italy	NULL	KX768817	KX768818	KX768819	KX768820	KX768821	KX768822	KX768823	1	1	1	1	1	1	1
D/bovine/Mexico/S62/2015	TRUE	7	2015	-	-	Bos taurus	-	Mexico	NULL	KU710441	KU710437	KU710429	KU171129	KU710421	KU710433	KU710425	1	1	1	1	1	1	1
D/bovine/Yamagata/10710/2016	TRUE	7	2016	-	-	Bos taurus	-	Japan	Yamagata	LC318665	LC318666	LC318667	LC318668	LC318669	LC318670	LC318671	1	1	1	1	1	1	1
D/bovine/France/5920/2014	TRUE	7	2014	FEB	18	Bos taurus	lung fragment	France	NULL	MG720239	MG720241	MG720238	MG720235	MG720237	MG720240	MG720236	1	1	1	1	1	1	1
D/bovine/Nebraska/9-5/2012	TRUE	7	2012	JAN	31	Bos taurus	-	USA	NULL	KM392468	KM392469	KM392470	KM392471	KM392472	KM392473	KM392474	1	1	1	1	1	1	1
D/bovine/Kansas/1-35/2010	TRUE	7	2010	DEC	10	Bos taurus	-	USA	NULL	KM392475	KM392476	KM392477	KM392478	KM392479	KM392480	KM392481	1	1	1	1	1	1	1
D/bovine/Italy/46484/2015	TRUE	7	2015	-	-	Bos taurus	-	Italy	NULL	KT592523	KT592524	KT592525	KT592526	KT592527	KT592528	KT592529	1	1	1	1	1	1	1
D/bovine/Mississippi/C00046N/2014	TRUE	7	2014	FEB	19	Bos taurus; 6 to 8 months	nasal swab	USA	Mississippi	KT581409	KT581410	KT581411	KT581412	KT581413	KT581414	KT581415	1	1	1	1	1	1	1
D/swine/Italy/199724-3/2015	TRUE	7	2015	-	-	Sus scrofa	-	Italy	NULL	KT592530	KT592531	KT592532	KT592533	KT592534	KT592535	KT592536	1	1	1	1	1	1	1
D/bovine/Shandong/Y127/2014	TRUE	7	2014	APR	2	Bos taurus	-	China	NULL	KM015498	KM015499	KM015500	KM015501	KM015502	KM015503	KM015504	1	1	1	1	1	1	1
D/bovine/Oklahoma/660/2013	TRUE	7	2013	FEB	20	Bos taurus	-	USA	NULL	KF425659	KF425660	KF425661	KF425662	KF425663	KF425664	KF425665	1	1	1	1	1	1	1
D/bovine/Shandong/Y125/2014	TRUE	7	2014	APR	2	Bos taurus	-	China	NULL	KM015491	KM015492	KM015493	KM015494	KM015495	KM015496	KM015497	1	1	1	1	1	1	1
D/bovine/Shandong/Y217/2014	TRUE	7	2014	APR	2	Bos taurus	-	China	NULL	KM015505	KM015506	KM015507	KM015508	KM015509	KM015510	KM015511	1	1	1	1	1	1	1
D/bovine/Mexico/S56/2015	TRUE	7	2015	-	-	Bos taurus	-	Mexico	NULL	KU710440	KU710436	KU710428	KU171128	KU710420	KU710432	KU710424	1	1	1	1	1	1	1
D/bovine/Kansas/13-21/2012	TRUE	7	2012	OCT	17	Bos taurus	-	USA	NULL	KM392489	KM392490	KM392491	KM392492	KM392493	KM392494	KM392495	1	1	1	1	1	1	1
D/swine/Oklahoma/1334/2011	TRUE	14	2011	MAR	21	Sus scrofa	-	USA	NULL	JQ922305	JQ922306	NC_036619	JQ922308	JQ922309	JQ922310	JQ922311	2	2	2	2	2	2	2
D/bovine/Italy/1/2014	TRUE	7	2014	-	-	Bos taurus	-	Italy	NULL	KT592516	KT592521	KT592517	KT592522	KT592518	KT592519	KT592520	1	1	1	1	1	1	1
D/swine/Kentucky/17TOSU1262/2017	TRUE	7	2017	NOV	1	Sus scrofa	nasal swab	USA	Kentucky	MK054181	MK054182	MK054180	MK054184	MK054178	MK054183	MK054179	1	1	1	1	1	1	1
D/swine/Italy/354017/2015	TRUE	7	2015	-	-	Sus scrofa	-	Italy	NULL	KX768838	KX768839	KX768840	KX768841	KX768842	KX768843	KX768844	1	1	1	1	1	1	1
