taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KF425652	KF425652	24595369	-	USA	2013	Bos taurus	-	D/OK	D/bovine/Minnesota/628/2013
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KF425659	KF425659	24595369	-	USA	2013	Bos taurus	-	D/660	D/bovine/Oklahoma/660/2013
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KF425666	KF425666	24595369	-	USA	2013	Bos taurus	-	D/OK	D/bovine/Minnesota/729/2013
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KM015491	KM015491	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y125/2014
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KM015498	KM015498	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y127/2014
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KM015505	KM015505	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y217/2014
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KM392468	KM392468	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Nebraska/9-5/2012
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KM392475	KM392475	-	-	USA	2010	Bos taurus	-	D/OK	D/bovine/Kansas/1-35/2010
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KM392482	KM392482	-	-	USA	2011	Bos taurus	-	D/660	D/bovine/Texas/3-13/2011
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KM392489	KM392489	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Kansas/13-21/2012
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KM392496	KM392496	-	-	USA	2012	Bos taurus	-	D/OK	D/bovine/Kansas/14-22/2012
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KM392503	KM392503	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Kansas/11-8/2012
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KT581409	KT581409	26386554	-	USA	2014	Bos taurus	nasal swab	D/OK	D/bovine/Mississippi/C00046N/2014
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KT592516	KT592516	26812282	-	Italy	2014	Bos taurus	-	D/OK	D/bovine/Italy/1/2014
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KT592523	KT592523	26812282	-	Italy	2015	Bos taurus	-	D/OK	D/bovine/Italy/46484/2015
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KT592530	KT592530	26812282	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/199724-3/2015
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KU710438	KU710438	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S7/2015
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KU710439	KU710439	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S8/2015
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KU710440	KU710440	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S56/2015
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KU710441	KU710441	27154756	-	Mexico	2015	Bos taurus	-	D/OK	D/bovine/Mexico/S62/2015
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KX768817	KX768817	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/268344-2/2015
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KX768824	KX768824	28916759	-	Italy	2016	Sus scrofa	-	D/OK	D/swine/Italy/173287-4/2016
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KX768831	KX768831	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/254578/2015
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/KX768838	KX768838	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/354017/2015
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/LC128439	LC128439	27434213	-	Japan	2016	Bos taurus	-	D/Yama2016	D/bovine/Ibaraki/7768/2016
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/LC270265	LC270265	29143492	-	Japan	2016	Bos taurus	-	D/Yama2016	D/bovine/Miyazaki/B22/2016
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/LC318665	LC318665	29321324	-	Japan	2016	Bos taurus	-	D/Yama2016	D/bovine/Yamagata/10710/2016
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/LC494105	LC494105	31855532	-	Japan	2019	Bos taurus	-	D/Yama2019	D/bovine/Yamagata/1/2019
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/MG720239	MG720239	-	-	France	2014	Bos taurus	lung fragment	D/OK	D/bovine/France/5920/2014
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/MK054181	MK054181	-	-	USA	2017	Sus scrofa	nasal swab	D/660	D/swine/Kentucky/17TOSU1262/2017
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/MK101118	MK101118	-	-	United Kingdom	2017	Bos taurus	-	D/OK	D/bovine/Northern Ireland/24280/2017
alignment/AL_IDV_SEG1/member/idv-ncbi-refseqs-seg1/NC_036616	NC_036616	23408893	-	USA	2011	Sus scrofa	-	D/OK	D/swine/Oklahoma/1334/2011
