sequenceID	source.name	rec_segment	gb_segment	gb_subtype	gb_lineage	rec_subtype	rec_lineage	gb_year	gb_month	gb_day	gb_country	length	pubmed_id	full_name	gb_lab_host	gb_host	isolate	gb_source	
CY115151	ibv-ncbi-refseqs-seg4	4	4	V1	V1	V1	V1	2008			Australia	1795		Influenza B virus (B/Brisbane/60/2008)	Egg passage(s)	Homo sapiens	B/Brisbane/60/2008		
OP999643	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3a.1	V1	V1A.3a.1	2021	AUG	31		1847		Influenza B virus		Homo sapiens	B/China/MDCK/2021	throat swab	
OQ028246	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3a.1	V1	V1A.3a.1	2021	JUL	25		1847		Influenza B virus		Homo sapiens	B/China/MDCK/2021	throat swab	
OQ028654	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3a.1	V1	V1A.3a.1	2021	JUN	7		1847		Influenza B virus		Homo sapiens	B/China/MDCK/2021	throat swab	
OQ061212	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3a.1	V1	V1A.3a.1	2021	MAR	26		1847		Influenza B virus		Homo sapiens	B/China/MDCK/2021	throat swab	
MK946995	ibv-ncbi-refseqs-seg1	1	2	V1				2019	MAR	16		2313		Influenza B virus		Homo sapiens	B/Germany/9318/2019	NP Swab	
MK946994	ibv-ncbi-refseqs-seg2	2	1	V1				2019	MAR	16		2259		Influenza B virus		Homo sapiens	B/Germany/9318/2019	NP Swab	
MK946993	ibv-ncbi-refseqs-seg3	3	3	V1				2019	MAR	16		2181		Influenza B virus		Homo sapiens	B/Germany/9318/2019	NP Swab	
MK946988	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3	V1	V1A.3	2019	MAR	16		1749		Influenza B virus		Homo sapiens	B/Germany/9318/2019	NP Swab	
MK946991	ibv-ncbi-refseqs-seg5	5	5	V1				2019	MAR	16		1683		Influenza B virus		Homo sapiens	B/Germany/9318/2019	NP Swab	
MK946990	ibv-ncbi-refseqs-seg6	6	6	V1				2019	MAR	16		1408		Influenza B virus		Homo sapiens	B/Germany/9318/2019	NP Swab	
MK946989	ibv-ncbi-refseqs-seg7	7	7	V1				2019	MAR	16		1076		Influenza B virus		Homo sapiens	B/Germany/9318/2019	NP Swab	
MN822678	ibv-ncbi-refseqs-seg1	1	2	V1				2018	FEB	5		2313		Influenza B virus		Homo sapiens	B/Gyeongbuk/923/2018	napharyngeal swab	
MN822677	ibv-ncbi-refseqs-seg2	2	1	V1				2018	FEB	5		2333		Influenza B virus		Homo sapiens	B/Gyeongbuk/923/2018	napharyngeal swab	
MN822676	ibv-ncbi-refseqs-seg3	3	3	V1				2018	FEB	5		2261		Influenza B virus		Homo sapiens	B/Gyeongbuk/923/2018	napharyngeal swab	
MN822671	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.2	V1	V1A.2	2018	FEB	5		1836		Influenza B virus		Homo sapiens	B/Gyeongbuk/923/2018	napharyngeal swab	
MN822674	ibv-ncbi-refseqs-seg5	5	5	V1				2018	FEB	5		1683		Influenza B virus		Homo sapiens	B/Gyeongbuk/923/2018	napharyngeal swab	
MN822673	ibv-ncbi-refseqs-seg6	6	6	V1				2018	FEB	5		1401		Influenza B virus		Homo sapiens	B/Gyeongbuk/923/2018	napharyngeal swab	
MN822672	ibv-ncbi-refseqs-seg7	7	7	V1				2018	FEB	5		1139		Influenza B virus		Homo sapiens	B/Gyeongbuk/923/2018	napharyngeal swab	
