taxon	sequenceID	Pubmed ID	length	gb_segment	name	full_name	lab_construct	isolate	sample_date	place_sampled	country	collection_year	host_sci_name
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/JQ922308	JQ922308	23408893	2049	4	-	Influenza D virus (D/swine/Oklahoma/1334/2011)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KF425655	KF425655	24595369	2049	4	-	Influenza D virus (D/bovine/Minnesota/628/2013)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KF425662	KF425662	24595369	2049	4	-	Influenza D virus (D/bovine/Oklahoma/660/2013)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KF425669	KF425669	24595369	1995	4	-	Influenza D virus (D/bovine/Minnesota/729/2013)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KM015494	KM015494	25142163	2049	4	-	Influenza D virus (D/bovine/Shandong/Y125/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KM015501	KM015501	25142163	2049	4	-	Influenza D virus (D/bovine/Shandong/Y127/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KM015508	KM015508	25142163	2049	4	-	Influenza D virus (D/bovine/Shandong/Y217/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KM392471	KM392471	-	2049	4	-	Influenza D virus (D/bovine/Nebraska/9-5/2012)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KM392478	KM392478	-	2049	4	-	Influenza D virus (D/bovine/Kansas/1-35/2010)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KM392485	KM392485	-	2049	4	-	Influenza D virus (D/bovine/Texas/3-13/2011)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KM392492	KM392492	-	2049	4	-	Influenza D virus (D/bovine/Kansas/13-21/2012)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KM392499	KM392499	-	2049	4	-	Influenza D virus (D/bovine/Kansas/14-22/2012)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KM392506	KM392506	-	2049	4	-	Influenza D virus (D/bovine/Kansas/11-8/2012)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KT581412	KT581412	26386554	2049	4	-	Influenza D virus (D/bovine/Mississippi/C00046N/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KT581416	KT581416	26386554	2049	4	-	Influenza D virus (D/bovine/Mississippi/C00013N/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KT581417	KT581417	26386554	2049	4	-	Influenza D virus (D/bovine/Mississippi/C00014N/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KT581418	KT581418	26386554	2049	4	-	Influenza D virus (D/bovine/Mississippi/C00030P/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KT592522	KT592522	26812282	2049	4	-	Influenza D virus (D/bovine/Italy/1/2014)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KT592526	KT592526	26812282	2044	4	-	Influenza D virus (D/bovine/Italy/46484/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KT592533	KT592533	26812282	2049	4	-	Influenza D virus (D/swine/Italy/199724-3/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KU171126	KU171126	27154756	2049	4	-	Influenza D virus (D/bovine/Mexico/S7/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KU171127	KU171127	27154756	2049	4	-	Influenza D virus (D/bovine/Mexico/S8/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KU171128	KU171128	27154756	2049	4	-	Influenza D virus (D/bovine/Mexico/S56/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KU171129	KU171129	27154756	2049	4	-	Influenza D virus (D/bovine/Mexico/S62/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KX768820	KX768820	28916759	2049	4	-	Influenza D virus (D/swine/Italy/268344-2/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KX768827	KX768827	28916759	2049	4	-	Influenza D virus (D/swine/Italy/173287-4/2016)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KX768834	KX768834	28916759	2049	4	-	Influenza D virus (D/swine/Italy/254578/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KX768841	KX768841	28916759	2052	4	-	Influenza D virus (D/swine/Italy/354017/2015)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KY441104	KY441104	28726609	496	4	-	Influenza D virus (D/swine/Guangdong/YS1/2016)	-	-	-	-	-	-	-
alignment/AL_IDV_SEG4/member/ncbi-nuccore-idv/KY441105	KY441105	28726609	496	4	-	Influenza D virus (D/swine/Guangdong/YS2/2016)	-	-	-	-	-	-	-
