taxon	sequenceID	Pubmed ID	length	gb_segment	name	full_name	lab_construct	isolate	sample_date	place_sampled	country	collection_year	host_sci_name
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000604	AB000604	9354270	1136	6	-	Influenza C virus (C/Johannesburg/66)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000605	AB000605	9354270	1136	6	-	Influenza C virus (C/Sapporo/71)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000606	AB000606	9354270	1136	6	-	Influenza C virus (C/Kanagawa/1/76)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000607	AB000607	9354270	1136	6	-	Influenza C virus (C/Miyagi/77)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000608	AB000608	9354270	1136	6	-	Influenza C virus (C/California/78)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000609	AB000609	9354270	1136	6	-	Influenza C virus (C/Kyoto/1/79)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000610	AB000610	9354270	1136	6	-	Influenza C virus (C/Hyogo/1/83)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000611	AB000611	9354270	1136	6	-	Influenza C virus (C/Yamagata/1/86)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000612	AB000612	9354270	1137	6	-	Influenza C virus (C/Yamagata/8/88)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000613	AB000613	9354270	1136	6	-	Influenza C virus (C/Yamagata/10/89)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000614	AB000614	9354270	1136	6	-	Influenza C virus (C/Miyagi/9/91)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000720	AB000720	9354270	1136	6	-	Influenza C virus (C/Mississippi/80)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000721	AB000721	9354270	1137	6	-	Influenza C virus (C/Yamagata/26/81)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000722	AB000722	9354270	1136	6	-	Influenza C virus (C/pig/Beijing/115/81)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000723	AB000723	9354270	1136	6	-	Influenza C virus (C/Nara/82)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000724	AB000724	9354270	1136	6	-	Influenza C virus (C/Kyoto/41/82)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000725	AB000725	9354270	1136	6	-	Influenza C virus (C/England/83)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000726	AB000726	9354270	1137	6	-	Influenza C virus (C/Nara/1/85)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000727	AB000727	9354270	1137	6	-	Influenza C virus (C/Nara/2/85)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB000728	AB000728	9354270	1136	6	-	Influenza C virus (C/Yamagata/9/88)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB126196	AB126196	15218173	1180	6	-	Influenza C virus (C/Ann Arbor/1/50)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982131	AB982131	-	1122	6	-	Influenza C virus (C/Leyte/1/2011)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982132	AB982132	-	1122	6	-	Influenza C virus (C/Leyte/2/2011)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982133	AB982133	-	1122	6	-	Influenza C virus (C/Leyte/3/2011)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982134	AB982134	-	1122	6	-	Influenza C virus (C/Sendai/TU1/2008)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982135	AB982135	-	1122	6	-	Influenza C virus (C/Sendai/TU2/2008)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982136	AB982136	-	1122	6	-	Influenza C virus (C/Sendai/TU3/2008)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982137	AB982137	-	1122	6	-	Influenza C virus (C/Sendai/TU5/2008)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982138	AB982138	-	1122	6	-	Influenza C virus (C/Sendai/TU1/2012)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982139	AB982139	-	1122	6	-	Influenza C virus (C/Sendai/TU2/2012)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982140	AB982140	-	1122	6	-	Influenza C virus (C/Biliran/1/2013)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982141	AB982141	-	1122	6	-	Influenza C virus (C/Biliran/2/2013)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982142	AB982142	-	1122	6	-	Influenza C virus (C/Biliran/3/2013)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982143	AB982143	-	1122	6	-	Influenza C virus (C/Leyte/1/2013)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982144	AB982144	-	1122	6	-	Influenza C virus (C/Leyte/2/2013)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982145	AB982145	-	1122	6	-	Influenza C virus (C/Leyte/3/2013)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AB982146	AB982146	-	1122	6	-	Influenza C virus (C/Palawan/1/2013)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/AM410042	AM410042	17686850	1180	6	-	Influenza C virus	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239416	CY239416	-	978	6	-	Influenza C virus (C/Minnesota/01/2014)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239419	CY239419	-	1034	6	-	Influenza C virus (C/Minnesota/01/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239420	CY239420	-	990	6	-	Influenza C virus (C/Minnesota/02/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239423	CY239423	-	958	6	-	Influenza C virus (C/Minnesota/03/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239425	CY239425	-	906	6	-	Influenza C virus (C/Minnesota/04/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239426	CY239426	-	961	6	-	Influenza C virus (C/Minnesota/05/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239429	CY239429	-	1097	6	-	Influenza C virus (C/Minnesota/06/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239431	CY239431	-	1024	6	-	Influenza C virus (C/Minnesota/07/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239432	CY239432	-	1029	6	-	Influenza C virus (C/Minnesota/08/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239434	CY239434	-	952	6	-	Influenza C virus (C/Minnesota/09/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239437	CY239437	-	1042	6	-	Influenza C virus (C/Minnesota/10/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239439	CY239439	-	1099	6	-	Influenza C virus (C/Minnesota/12/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239441	CY239441	-	1100	6	-	Influenza C virus (C/Minnesota/13/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239443	CY239443	-	998	6	-	Influenza C virus (C/Minnesota/14/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239445	CY239445	-	1098	6	-	Influenza C virus (C/Minnesota/15/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239449	CY239449	-	1036	6	-	Influenza C virus (C/Minnesota/18/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239451	CY239451	-	1039	6	-	Influenza C virus (C/Minnesota/19/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239453	CY239453	-	1098	6	-	Influenza C virus (C/Minnesota/20/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239456	CY239456	-	964	6	-	Influenza C virus (C/Minnesota/22/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239458	CY239458	-	972	6	-	Influenza C virus (C/Minnesota/23/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239460	CY239460	-	939	6	-	Influenza C virus (C/Minnesota/24/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239462	CY239462	-	1026	6	-	Influenza C virus (C/Minnesota/25/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239464	CY239464	-	996	6	-	Influenza C virus (C/Minnesota/26/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239466	CY239466	-	1135	6	-	Influenza C virus (C/Minnesota/03/2014)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239468	CY239468	-	1152	6	-	Influenza C virus (C/Minnesota/04/2014)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239470	CY239470	-	1138	6	-	Influenza C virus (C/Minnesota/27/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239472	CY239472	-	1134	6	-	Influenza C virus (C/Minnesota/28/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239474	CY239474	-	1140	6	-	Influenza C virus (C/Minnesota/29/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239476	CY239476	-	1122	6	-	Influenza C virus (C/Minnesota/30/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239478	CY239478	-	1136	6	-	Influenza C virus (C/Minnesota/31/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239480	CY239480	-	1132	6	-	Influenza C virus (C/Minnesota/32/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239482	CY239482	-	1142	6	-	Influenza C virus (C/Minnesota/33/2015)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/CY239485	CY239485	-	1133	6	-	Influenza C virus (C/Minnesota/01/2016)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D16258	D16258	7996141	1154	6	-	Influenza C virus (C/Yamagata/64)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D16259	D16259	7996141	1153	6	-	Influenza C virus (C/Aomori/74)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D16260	D16260	7996141	1154	6	-	Influenza C virus (C/Aichi/1/81)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D16261	D16261	7996141	1156	6	-	Influenza C virus (C/Yamagata/1/88)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D26546	D26546	8128618	1147	6	-	Influenza C virus (C/Taylor/1233/1947)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D30701	D30701	7996155	369	6	-	Influenza C virus (C/Nara/2/85)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D30704	D30704	7996155	369	6	-	Influenza C virus (C/Nara/82)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D30709	D30709	7996155	369	6	-	Influenza C virus (C/Nara/1/85)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78420	D78420	8757991	371	6	-	Influenza C virus (C/Aichi/1/81)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78422	D78422	8757991	371	6	-	Influenza C virus (C/Kyoto/41/82)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78423	D78423	8757991	371	6	-	Influenza C virus (C/Nara/1/85)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78424	D78424	8757991	371	6	-	Influenza C virus (C/Nara/2/85)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78425	D78425	8757991	371	6	-	Influenza C virus (C/Nara/82)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78426	D78426	8757991	371	6	-	Influenza C virus (C/pig/Beijing/115/81)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78427	D78427	8757991	371	6	-	Influenza C virus (C/Yamagata/26/81)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78428	D78428	8757991	371	6	-	Influenza C virus (C/Yamagata/5/92)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78429	D78429	8757991	371	6	-	Influenza C virus (C/Yamagata/7/88)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78430	D78430	8757991	371	6	-	Influenza C virus (C/Yamagata/9/88)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78432	D78432	8757991	371	6	-	Influenza C virus (C/England/83)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/D78437	D78437	8757991	371	6	-	Influenza C virus (C/Mississippi/80)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/FR671424	FR671424	20838663	1180	6	-	Influenza C virus (C/JJ/1950)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/JX133150	JX133150	-	963	6	-	Influenza C virus (C/Alberta/2616/2011)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/JX133151	JX133151	-	963	6	-	Influenza C virus (C/Alberta/2921/2011)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/JX133152	JX133152	-	963	6	-	Influenza C virus (C/Alberta/3087/2011)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/JX133153	JX133153	-	963	6	-	Influenza C virus (C/Alberta/3502/2011)	-	-	-	-	-	-	-
alignment/AL_ICV_SEG6/member/ncbi-nuccore-icv/JX133154	JX133154	-	963	6	-	Influenza C virus (C/Alberta/4406/2011)	-	-	-	-	-	-	-
