source.name	sequenceID
iav-ncbi-refseqs-seg1	CY240835
iav-ncbi-refseqs-seg1	LC314499
iav-ncbi-refseqs-seg1	LC371815
iav-ncbi-refseqs-seg1	LC371839
iav-ncbi-refseqs-seg1	MF959980
iav-ncbi-refseqs-seg1	MH500872
iav-ncbi-refseqs-seg1	MH596900
iav-ncbi-refseqs-seg1	MH597323
iav-ncbi-refseqs-seg1	MH597960
iav-ncbi-refseqs-seg1	MH598164
iav-ncbi-refseqs-seg1	MK045456
iav-ncbi-refseqs-seg1	MK077421
iav-ncbi-refseqs-seg1	MK239128
iav-ncbi-refseqs-seg1	MN988211
iav-ncbi-refseqs-seg1	MW169636
iav-ncbi-refseqs-seg1	MW848669
iav-ncbi-refseqs-seg1	MZ565617
iav-ncbi-refseqs-seg1	NC_002023
iav-ncbi-refseqs-seg1	OL371652
iav-ncbi-refseqs-seg2	KU322227
iav-ncbi-refseqs-seg2	LC431474
iav-ncbi-refseqs-seg2	MK239099
iav-ncbi-refseqs-seg2	MN055191
iav-ncbi-refseqs-seg2	MZ945738
iav-ncbi-refseqs-seg2	NC_002021
iav-ncbi-refseqs-seg2	OL370765
iav-ncbi-refseqs-seg2	OL371253
iav-ncbi-refseqs-seg2	OM966132
iav-ncbi-refseqs-seg3	KU322270
iav-ncbi-refseqs-seg3	KY644159
iav-ncbi-refseqs-seg3	KY990795
iav-ncbi-refseqs-seg3	MF147443
iav-ncbi-refseqs-seg3	MF978419
iav-ncbi-refseqs-seg3	MH061510
iav-ncbi-refseqs-seg3	MH502287
iav-ncbi-refseqs-seg3	MH502499
iav-ncbi-refseqs-seg3	MH578883
iav-ncbi-refseqs-seg3	MK239124
iav-ncbi-refseqs-seg3	MN055196
iav-ncbi-refseqs-seg3	MW109583
iav-ncbi-refseqs-seg3	MW109695
iav-ncbi-refseqs-seg3	MW333285
iav-ncbi-refseqs-seg3	MW547620
iav-ncbi-refseqs-seg3	MW875660
iav-ncbi-refseqs-seg3	MW876043
iav-ncbi-refseqs-seg3	MZ565339
iav-ncbi-refseqs-seg3	MZ945739
iav-ncbi-refseqs-seg3	MZ945779
iav-ncbi-refseqs-seg3	NC_002022
iav-ncbi-refseqs-seg3	OM373269
iav-ncbi-refseqs-seg4	AB284320
iav-ncbi-refseqs-seg4	AF098538
iav-ncbi-refseqs-seg4	AF116200
iav-ncbi-refseqs-seg4	AF285883
iav-ncbi-refseqs-seg4	AY338459
iav-ncbi-refseqs-seg4	CY006008
iav-ncbi-refseqs-seg4	CY006009
iav-ncbi-refseqs-seg4	CY014604
iav-ncbi-refseqs-seg4	CY014630
iav-ncbi-refseqs-seg4	CY014659
iav-ncbi-refseqs-seg4	CY014679
iav-ncbi-refseqs-seg4	CY014694
iav-ncbi-refseqs-seg4	CY015115
iav-ncbi-refseqs-seg4	CY031336
iav-ncbi-refseqs-seg4	CY075054
iav-ncbi-refseqs-seg4	CY103892
iav-ncbi-refseqs-seg4	CY125945
iav-ncbi-refseqs-seg4	DQ376624
iav-ncbi-refseqs-seg4	EU030984
iav-ncbi-refseqs-seg4	HM006759
iav-ncbi-refseqs-seg4	KR732539
iav-ncbi-refseqs-seg4	KX978192
iav-ncbi-refseqs-seg4	L20410
iav-ncbi-refseqs-seg4	MF146268
iav-ncbi-refseqs-seg4	MK159405
iav-ncbi-refseqs-seg4	MW244325
iav-ncbi-refseqs-seg4	NC_002017
iav-ncbi-refseqs-seg4	NC_007366
iav-ncbi-refseqs-seg5	CY241066
iav-ncbi-refseqs-seg5	KU322356
iav-ncbi-refseqs-seg5	KY415760
iav-ncbi-refseqs-seg5	KY561179
iav-ncbi-refseqs-seg5	KY644165
iav-ncbi-refseqs-seg5	MF145885
iav-ncbi-refseqs-seg5	MF978417
iav-ncbi-refseqs-seg5	MH502497
iav-ncbi-refseqs-seg5	MH578837
iav-ncbi-refseqs-seg5	MW024907
iav-ncbi-refseqs-seg5	MW342701
iav-ncbi-refseqs-seg5	MW857527
iav-ncbi-refseqs-seg5	MW876094
iav-ncbi-refseqs-seg5	MZ565045
iav-ncbi-refseqs-seg5	NC_002019
iav-ncbi-refseqs-seg5	OL371256
iav-ncbi-refseqs-seg5	OL371512
iav-ncbi-refseqs-seg6	AF342820
iav-ncbi-refseqs-seg6	CY005059
iav-ncbi-refseqs-seg6	CY005135
iav-ncbi-refseqs-seg6	CY005802
iav-ncbi-refseqs-seg6	CY067680
iav-ncbi-refseqs-seg6	CY079173
iav-ncbi-refseqs-seg6	CY096650
iav-ncbi-refseqs-seg6	CY103894
iav-ncbi-refseqs-seg6	CY125947
iav-ncbi-refseqs-seg6	KX978763
iav-ncbi-refseqs-seg6	KX978990
iav-ncbi-refseqs-seg6	L06582
iav-ncbi-refseqs-seg6	MH134707
iav-ncbi-refseqs-seg6	MK159404
iav-ncbi-refseqs-seg6	MK968546
iav-ncbi-refseqs-seg6	NC_002018
iav-ncbi-refseqs-seg6	NC_007368
iav-ncbi-refseqs-seg6	X15281
iav-ncbi-refseqs-seg7	KU322442
iav-ncbi-refseqs-seg7	KY273001
iav-ncbi-refseqs-seg7	KY635810
iav-ncbi-refseqs-seg7	MH569266
iav-ncbi-refseqs-seg7	MH579025
iav-ncbi-refseqs-seg7	MN055192
iav-ncbi-refseqs-seg7	MW024909
iav-ncbi-refseqs-seg7	MZ565343
iav-ncbi-refseqs-seg7	NC_002016
iav-ncbi-refseqs-seg8	AY060139
iav-ncbi-refseqs-seg8	CY005144
iav-ncbi-refseqs-seg8	CY103896
iav-ncbi-refseqs-seg8	NC_002020
