taxon	sequenceID	length	name	isolate	iso_region	iso_country	iso_year	iso_host	subtype	strain
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY213672	CY213672	989	-	-	Cordova, Alaska	USA: Cordova, Alaska	2015	Larus hyperboreus	H16N3	A/glaucous-winged gull/Southcentral Alaska/15MB01747/2015
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY240917	CY240917	1002	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-0910/2016
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY241064	CY241064	982	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Environment	H10N2	A/environment/New Jersey/UGAI16-1117/2016
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY241290	CY241290	1002	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H3N5	A/ruddy turnstone/New Jersey/UGAI16-1296/2016
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY241454	CY241454	1002	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H11N5	A/ruddy turnstone/New Jersey/UGAI16-1492/2016
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY241675	CY241675	1002	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-2126/2016
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY258591	CY258591	1002	-	-	Texas	USA: Texas	2017	Homo sapiens	H1N1	A/Texas/294/2017
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY264340	CY264340	1002	-	-	New York	USA: New York	2017	Homo sapiens	H3N2	A/New York/49/2017
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/KJ907650	KJ907650	982	-	-	Liaoning	China: Liaoning	2011	Anseriformes sp	H5N5	A/duck/Liaoning/LN/2011
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/KR010430	KR010430	982	-	-	Cangzhou	China: Cangzhou	2014	Himantopus himantopus	H9N7	A/Himantopus himantopus/Hebei/CZ-179/2014
