taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KF425656	KF425656	24595369	-	USA	2013	Bos taurus	-	D/OK	D/bovine/Minnesota/628/2013
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KF425663	KF425663	24595369	-	USA	2013	Bos taurus	-	D/660	D/bovine/Oklahoma/660/2013
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KF425670	KF425670	24595369	-	USA	2013	Bos taurus	-	D/OK	D/bovine/Minnesota/729/2013
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KM015495	KM015495	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y125/2014
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KM015502	KM015502	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y127/2014
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KM015509	KM015509	25142163	-	China	2014	Bos taurus	-	D/OK	D/bovine/Shandong/Y217/2014
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KM392472	KM392472	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Nebraska/9-5/2012
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KM392479	KM392479	-	-	USA	2010	Bos taurus	-	D/OK	D/bovine/Kansas/1-35/2010
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KM392486	KM392486	-	-	USA	2011	Bos taurus	-	D/660	D/bovine/Texas/3-13/2011
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KM392493	KM392493	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Kansas/13-21/2012
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KM392500	KM392500	-	-	USA	2012	Bos taurus	-	D/OK	D/bovine/Kansas/14-22/2012
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KM392507	KM392507	-	-	USA	2012	Bos taurus	-	D/660	D/bovine/Kansas/11-8/2012
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KT581413	KT581413	26386554	-	USA	2014	Bos taurus	nasal swab	D/OK	D/bovine/Mississippi/C00046N/2014
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KT592518	KT592518	26812282	-	Italy	2014	Bos taurus	-	D/OK	D/bovine/Italy/1/2014
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KT592527	KT592527	26812282	-	Italy	2015	Bos taurus	-	D/OK	D/bovine/Italy/46484/2015
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KT592534	KT592534	26812282	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/199724-3/2015
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KU710418	KU710418	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S7/2015
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KU710419	KU710419	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S8/2015
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KU710420	KU710420	27154756	-	Mexico	2015	Bos taurus	-	D/660	D/bovine/Mexico/S56/2015
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KU710421	KU710421	27154756	-	Mexico	2015	Bos taurus	-	D/OK	D/bovine/Mexico/S62/2015
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KX768821	KX768821	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/268344-2/2015
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KX768828	KX768828	28916759	-	Italy	2016	Sus scrofa	-	D/OK	D/swine/Italy/173287-4/2016
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KX768835	KX768835	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/254578/2015
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/KX768842	KX768842	28916759	-	Italy	2015	Sus scrofa	-	D/OK	D/swine/Italy/354017/2015
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/LC128435	LC128435	27434213	-	Japan	2016	Bos taurus	-	D/Yama2016	D/bovine/Ibaraki/7768/2016
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/LC270269	LC270269	29143492	-	Japan	2016	Bos taurus	-	D/Yama2016	D/bovine/Miyazaki/B22/2016
alignment/AL_IDV_SEG5/member/idv-ncbi-refseqs-seg5/LC318669	LC318669	29321324	-	Japan	2016	Bos taurus	-	D/Yama2016	D/bovine/Yamagata/10710/2016
