sequenceID	virus_name	genus	source.name	rec_segment	gb_subtype	strain	isolate_name	iso_host	iso_country	iso_region	iso_year	iso_month	iso_day	length
MH598164	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H12N5	A/ruddy turnstone/New Jersey/AI00-1091/2000	-	Arenaria interpres	USA	New Jersey	2000	MAY	16	2314
NC_002023	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H1N1	A/Puerto Rico/8/1934	-	Homo sapiens	Puerto Rico	-	1934	-		2341
MW169636	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H1N1	A/swine/Italy/76704/2019	76704	Sus scrofa	Italy	-	2019	-		2280
MW848669	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H1N2	A/swine/Spain/25001-2/2019	-	Sus scrofa	Spain	-	2019	NOV	20	2341
OL371652	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H1N7	A/wild waterbird/Tasmania/18-1081-5/2018	18-1081-5	Aves	Australia	Tasmania	2018	MAR	22	2280
LC371839	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H2N2	A/duck/Hokkaido/95/2001	-	Anseriformes	Japan	Hokkaido	2001	-		2329
MN988211	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H2N3	A/mallard/Minnesota/MN18-WB1-025A/2018	MN18-WB1-025A	Anas platyrhynchos	USA	Minnesota	2018	SEP	10	2280
MZ565617	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H2N7	A/lesser black-backed gull/Iceland/1656/2012	1656	Larus fuscus	Iceland	-	2012	-		2296
MK077421	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H3N2	A/New York/40/2018	-	Homo sapiens	USA	New York	2018	SEP	5	2316
MK239128	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H3N2v	A/Iowa/38/2017	-	Homo sapiens	USA	Iowa	2017	DEC	1	2316
