taxon	sequenceID	pubmed_id	gb_place_sampled	gb_country	gb_year	gb_host	gb_source	gb_subtype	isolate_id
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/AB126193	AB126193	15218173	-	-	-	-	-	-	C/Ann Arbor/1/50
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/D30695	D30695	7996155	-	-	-	-	-	-	C/Nara/2/85
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/D78392	D78392	8757991	-	-	-	Homo sapiens	-	-	C/Mississippi/80
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/JX947863	JX947863	23523822	-	India	2011	Homo sapiens	-	-	C/Eastern India/1202/2011
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/JX963118	JX963118	-	-	Singapore	2006	Homo sapiens	-	-	C/Singapore/DSO-050530/2006
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/JX963119	JX963119	-	-	Singapore	2006	Homo sapiens	-	-	C/Singapore/DSO-070170/2006
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/JX963120	JX963120	-	-	Singapore	2006	Homo sapiens	-	-	C/Singapore/DSO-070193/2006
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/JX963121	JX963121	-	-	Singapore	2006	Homo sapiens	-	-	C/Singapore/DSO-070203/2006
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/KM504279	KM504279	-	-	Australia	2012	Homo sapiens	-	-	C/Victoria/2/2012
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/KM507547	KM507547	-	-	India	2012	Homo sapiens	TS/NS	-	C/India/P121719/2012
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/KM507554	KM507554	-	-	India	2013	Homo sapiens	TS/NS	-	C/India/P135047/2013
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/KT232084	KT232084	-	-	India	2011	Homo sapiens	TS/NS	-	C/India/P119564/2011
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/KT835345	KT835345	26655269	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	C/Scotland/7482/2007
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/KT835346	KT835346	26655269	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	C/Scotland/7383/2007
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/KT835347	KT835347	26655269	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	C/Scotland/7274/2007
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/KT835348	KT835348	26655269	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	C/Scotland/6855/2007
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123488	LC123488	27384661	-	USA	1954	Homo sapiens	-	-	C/Great Lakes/1167/1954
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123491	LC123491	27384661	-	France	1967	Homo sapiens	-	-	C/Paris/1/67
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123498	LC123498	27384661	-	USA	1978	Homo sapiens	-	-	C/California/78
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123516	LC123516	27384661	Yamagata	Japan	1992	Homo sapiens	-	-	C/Yamagata/4/92
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123529	LC123529	27384661	Yamagata	Japan	2002	Homo sapiens	-	-	C/Yamagata/5/2002
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123531	LC123531	27384661	Miyagi	Japan	2002	Homo sapiens	-	-	C/Miyagi/4/2002
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123532	LC123532	27384661	Miyagi	Japan	2002	Homo sapiens	-	-	C/Miyagi/11/2002
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123533	LC123533	27384661	Miyagi	Japan	2002	Homo sapiens	-	-	C/Miyagi/20/2002
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123534	LC123534	27384661	Miyagi	Japan	2002	Homo sapiens	-	-	C/Miyagi/28/2002
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123535	LC123535	27384661	Miyagi	Japan	2002	Homo sapiens	-	-	C/Miyagi/31/2002
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123536	LC123536	27384661	Yamagata	Japan	2004	Homo sapiens	-	-	C/Yamagata/3/2004
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123539	LC123539	27384661	Yamagata	Japan	2004	Homo sapiens	-	-	C/Yamagata/18/2004
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123540	LC123540	27384661	Yamagata	Japan	2004	Homo sapiens	-	-	C/Yamagata/26/2004
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123542	LC123542	27384661	Miyagi	Japan	2004	Homo sapiens	-	-	C/Miyagi/12/2004
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123543	LC123543	27384661	Miyagi	Japan	2004	Homo sapiens	-	-	C/Miyagi/25/2004
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123544	LC123544	27384661	Miyagi	Japan	2004	Homo sapiens	-	-	C/Miyagi/42/2004
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123545	LC123545	27384661	Miyagi	Japan	2004	Homo sapiens	-	-	C/Miyagi/47/2004
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123546	LC123546	27384661	Yamagata	Japan	2005	Homo sapiens	-	-	C/Yamagata/1/2005
alignment/AL_ICV_SEG3/member/icv-ncbi-refseqs-seg3/LC123547	LC123547	27384661	Yamagata	Japan	2005	Homo sapiens	-	-	C/Yamagata/2/2005
