taxon	sequenceID	length	name	isolate	iso_region	iso_country	iso_year	iso_host	subtype	strain
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/CY213677	CY213677	2304	-	-	Cordova, Alaska	USA: Cordova, Alaska	2015	Larus hyperboreus	H16N3	A/glaucous-winged gull/Southcentral Alaska/15MB01747/2015
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/CY240922	CY240922	2316	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-0910/2016
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/CY241069	CY241069	2304	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Environment	H10N2	A/environment/New Jersey/UGAI16-1117/2016
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/CY241295	CY241295	2304	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H3N5	A/ruddy turnstone/New Jersey/UGAI16-1296/2016
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/CY241459	CY241459	2316	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H11N5	A/ruddy turnstone/New Jersey/UGAI16-1492/2016
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/CY241680	CY241680	2304	-	-	Cape May Co., NJ	USA: Cape May Co., NJ	2016	Arenaria interpres	H10N5	A/ruddy turnstone/New Jersey/UGAI16-2126/2016
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/CY258586	CY258586	2316	-	-	Texas	USA: Texas	2017	Homo sapiens	H1N1	A/Texas/294/2017
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/CY264335	CY264335	2316	-	-	New York	USA: New York	2017	Homo sapiens	H3N2	A/New York/49/2017
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KJ907645	KJ907645	2274	-	-	Liaoning	China: Liaoning	2011	Anseriformes sp	H5N5	A/duck/Liaoning/LN/2011
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KR010425	KR010425	2274	-	-	Cangzhou	China: Cangzhou	2014	Himantopus himantopus	H9N7	A/Himantopus himantopus/Hebei/CZ-179/2014
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KR010441	KR010441	2274	-	-	Zhuanghe	China: Zhuanghe	2014	Numenius arquata	H13N8	A/Eurasian curlew/Liaoning/ZH-385/2014
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KU322227	KU322227	2316	-	-	-	Italy	2012	Homo sapiens	H3N2	A/Parma/58/2012
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KX156728	KX156728	2274	-	-	-	China	2006	Ochotonidae sp	H7N2	A/pika/QH-Gonghe/01/2006
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KX602666	KX602666	2274	-	-	-	Pakistan	2014	Anser sp.	H14N3	A/goose/Karachi/NARC-13N-969/2014
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY013682	KY013682	2300	-	-	St. Landry Parish, Louisiana	USA: St. Landry Parish, Louisiana	2014	Anas discors	H4N8	A/blue-winged teal/Louisiana/UGAI14-2395/2014
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY130558	KY130558	2300	-	-	Izembek National Wildlife Refuge, Alaska	USA: Izembek National Wildlife Refuge, Alaska	2011	Anas acuta	H8N8	A/northern pintail/Alaska/104/2011
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY273021	KY273021	2274	-	-	-	South Korea	2016	-	H5N6	A/environment/Korea/W541/2016
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY415848	KY415848	2292	-	-	-	China	2016	Columba livia	H2N8	A/Pigeon/Longquan/LQ67/2016
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY487090	KY487090	2341	-	-	-	Taiwan	2016	Homo sapiens	H1N1	A/Taipei/0063/2016
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY550894	KY550894	2304	-	-	Lyon County, Kentucky	USA: Lyon County, Kentucky	2015	Aythya affinis	H7N8	A/lesser scaup/Kentucky/AH0012935/2015
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY551369	KY551369	2340	-	-	Davis County, Utah	USA: Davis County, Utah	2015	Anas platyrhynchos	H7N4	A/mallard/Utah/AH0020452/2015
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY551505	KY551505	2274	-	-	Cloud County, Kansas	USA: Cloud County, Kansas	2014	Anas discors	H4N8	A/blue-winged teal/Kansas/AH0001572/2014
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY561256	KY561256	2316	-	-	-	USA	2015	Anas crecca	H6N5	A/green-winged teal/Ohio/15OS5495/2015
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY561314	KY561314	2300	-	-	-	USA	2015	Fulica americana	H10N2	A/American coot/Missouri/15OS6556/2015
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY575210	KY575210	2341	-	-	Sonora	Mexico: Sonora	2009	Anas carolinensis	H6N5	A/green winged teal/Mexico-Sonora/829/2009
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY635517	KY635517	2309	-	-	-	Bangladesh	2015	Limosa limosa	H7N5	A/black-tailed godwit/Bangladesh/24734/2015
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY635673	KY635673	2309	-	-	-	Bangladesh	2015	Anas sp.	H7N1	A/duck/Bangladesh/24692/2015
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY635750	KY635750	2316	-	-	-	Bangladesh	2015	Anas sp.	H15N9	A/duck/Bangladesh/24697/2015
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY635825	KY635825	2316	-	-	-	Bangladesh	2015	Anas sp.	H15N9	A/duck/Bangladesh/24704/2015
alignment/AL_IAV_SEG2/member/iav-ncbi-refseqs-seg2/KY644158	KY644158	2274	-	-	-	Chile	2016	Haematopus ater	H2N2	A/blackish oystercatcher/Chile/C6534/2016
