isolate	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
D/bovine/Aomori/4/2016	-	-	2016	-	-	Bos taurus	nasal swab	Japan	D/bovine/Aomori/4/2016	-	-	-	LC790325	-	-	-
D/bovine/France/B14D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B14D/2018	-	-	-	ON038782	-	-	-
D/bovine/Fukushima/7/2023	-	-	2023	-	-	Bos taurus	-	Japan	D/bovine/Fukushima/7/2023	-	-	-	LC793499	-	-	-
D/bovine/Denmark/47398-3622/2015	-	-	2015	NOV	3	Bos taurus	bronchoalveolar lavage	Denmark	D/bovine/Denmark/47398-3622/2015	-	-	-	OM468296	-	-	-
D/bovine/Luxembourg/0003/2018	-	-	2018	-	-	Sus scrofa	nasal swab	Luxembourg	D/bovine/Luxembourg/0003/2018	ON038920	ON038922	ON038924	-	-	ON038929	-
D/bovine/Italy/18RS182-4/2017	-	-	2017	APR	3	Bos taurus	-	Italy	D/bovine/Italy/18RS182-4/2017	-	-	MK965331	MK965274	MK965286	MK965353	MK965307
D/bovine/Italy/18RS182-18/2018	-	-	2018	JAN	19	Bos taurus	-	Italy	D/bovine/Italy/18RS182-18/2018	MK965380	-	MK965324	MK965272	MK965291	MK965346	MK965312
D/bovine/France/O-EB21D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB21D/2018	ON038803	ON038823	ON038844	-	ON038865	ON038885	ON038907
D/bovine/France/O-EB19/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB19/2018	ON038800	ON038820	ON038841	-	ON038862	ON038883	ON038904
D/bovine/France/B19/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B19/2018	-	-	-	ON038778	-	-	-
