sequenceID	source.name	rec_segment	gb_segment	gb_subtype	rec_subtype	gb_year	gb_month	gb_day	gb_country	length	pubmed_id	full_name	gb_lab_host	gb_host	isolate	gb_source
MG720239	idv-ncbi-refseqs-seg1	1	1	D/OK		2014	FEB	18	France	2337		Influenza D virus (D/bovine/France/5920/2014)		Bos taurus	D/bovine/France/5920/2014	lung fragment
MG720241	idv-ncbi-refseqs-seg2	2	2	D/OK		2014	FEB	18	France	2248		Influenza D virus (D/bovine/France/5920/2014)		Bos taurus	D/bovine/France/5920/2014	lung fragment
MG720238	idv-ncbi-refseqs-seg3	3	3	D/OK		2014	FEB	18	France	2166		Influenza D virus (D/bovine/France/5920/2014)		Bos taurus	D/bovine/France/5920/2014	lung fragment
MG720235	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2014	FEB	18	France	1995		Influenza D virus (D/bovine/France/5920/2014)		Bos taurus	D/bovine/France/5920/2014	lung fragment
MG720237	idv-ncbi-refseqs-seg5	5	5	D/OK		2014	FEB	18	France	1685		Influenza D virus (D/bovine/France/5920/2014)		Bos taurus	D/bovine/France/5920/2014	lung fragment
MG720240	idv-ncbi-refseqs-seg6	6	6	D/OK		2014	FEB	18	France	1162		Influenza D virus (D/bovine/France/5920/2014)		Bos taurus	D/bovine/France/5920/2014	lung fragment
MG720236	idv-ncbi-refseqs-seg7	7	7	D/OK		2014	FEB	18	France	821		Influenza D virus (D/bovine/France/5920/2014)		Bos taurus	D/bovine/France/5920/2014	lung fragment
LC128439	idv-ncbi-refseqs-seg1	1	1	D/Yama2016		2016			Japan	2364	27434213	Influenza D virus (D/bovine/Ibaraki/7768/2016)		Bos taurus	D/bovine/Ibaraki/7768/2016	
LC128438	idv-ncbi-refseqs-seg2	2	2	D/Yama2016		2016			Japan	2330	27434213	Influenza D virus (D/bovine/Ibaraki/7768/2016)		Bos taurus	D/bovine/Ibaraki/7768/2016	
LC128437	idv-ncbi-refseqs-seg3	3	3	D/Yama2016		2016			Japan	2195	27434213	Influenza D virus (D/bovine/Ibaraki/7768/2016)		Bos taurus	D/bovine/Ibaraki/7768/2016	
LC128433	idv-ncbi-refseqs-seg4	4	4	D/Yama2016	D/Yama2016	2016			Japan	2049	27434213	Influenza D virus (D/bovine/Ibaraki/7768/2016)		Bos taurus	D/bovine/Ibaraki/7768/2016	
LC128435	idv-ncbi-refseqs-seg5	5	5	D/Yama2016		2016			Japan	1775	27434213	Influenza D virus (D/bovine/Ibaraki/7768/2016)		Bos taurus	D/bovine/Ibaraki/7768/2016	
LC128434	idv-ncbi-refseqs-seg6	6	6	D/Yama2016		2016			Japan	1219	27434213	Influenza D virus (D/bovine/Ibaraki/7768/2016)		Bos taurus	D/bovine/Ibaraki/7768/2016	
LC128436	idv-ncbi-refseqs-seg7	7	7	D/Yama2016		2016			Japan	868	27434213	Influenza D virus (D/bovine/Ibaraki/7768/2016)		Bos taurus	D/bovine/Ibaraki/7768/2016	
KT592516	idv-ncbi-refseqs-seg1	1	1	D/OK		2014			Italy	2364	26812282	Influenza D virus (D/bovine/Italy/1/2014)		Bos taurus	D/bovine/Italy/1/2014	
KT592521	idv-ncbi-refseqs-seg2	2	2	D/OK		2014			Italy	2330	26812282	Influenza D virus (D/bovine/Italy/1/2014)		Bos taurus	D/bovine/Italy/1/2014	
KT592517	idv-ncbi-refseqs-seg3	3	3	D/OK		2014			Italy	2195	26812282	Influenza D virus (D/bovine/Italy/1/2014)		Bos taurus	D/bovine/Italy/1/2014	
KT592522	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2014			Italy	2049	26812282	Influenza D virus (D/bovine/Italy/1/2014)		Bos taurus	D/bovine/Italy/1/2014	
KT592518	idv-ncbi-refseqs-seg5	5	5	D/OK		2014			Italy	1775	26812282	Influenza D virus (D/bovine/Italy/1/2014)		Bos taurus	D/bovine/Italy/1/2014	
KT592519	idv-ncbi-refseqs-seg6	6	6	D/OK		2014			Italy	1219	26812282	Influenza D virus (D/bovine/Italy/1/2014)		Bos taurus	D/bovine/Italy/1/2014	
KT592520	idv-ncbi-refseqs-seg7	7	7	D/OK		2014			Italy	868	26812282	Influenza D virus (D/bovine/Italy/1/2014)		Bos taurus	D/bovine/Italy/1/2014	
