sequenceID	isolate	gb_segment	rec_segment	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	pubmed_id	length
MT511506	MT511506	D/bovine/Mississippi/C00013N/2014	-	1	-	-	2014	FEB	7	nasal swab	USA	-	-	2319
MT511507	MT511507	D/bovine/Mississippi/C00013N/2014	-	2	-	-	2014	FEB	7	nasal swab	USA	-	-	2262
MT511508	MT511508	D/bovine/Mississippi/C00013N/2014	-	3	-	-	2014	FEB	7	nasal swab	USA	-	-	2133
KT581416	KT581416	D/bovine/Mississippi/C00013N/2014	4	4	-	-	2014	FEB	7	nasal swab	USA	-	26386554	2049
MT511509	MT511509	D/bovine/Mississippi/C00013N/2014	-	5	-	-	2014	FEB	7	nasal swab	USA	-	-	1659
MT511510	MT511510	D/bovine/Mississippi/C00013N/2014	-	6	-	-	2014	FEB	7	nasal swab	USA	-	-	1164
MT511511	MT511511	D/bovine/Mississippi/C00013N/2014	-	7	-	-	2014	FEB	7	nasal swab	USA	-	-	819
MT511444	MT511444	D/bovine/Mississippi/C00014N/2014	-	1	-	-	2014	FEB	7	nasal swab	USA	-	-	2319
MT511445	MT511445	D/bovine/Mississippi/C00014N/2014	-	2	-	-	2014	FEB	7	nasal swab	USA	-	-	2262
MT511446	MT511446	D/bovine/Mississippi/C00014N/2014	-	3	-	-	2014	FEB	7	nasal swab	USA	-	-	2133
KT581417	KT581417	D/bovine/Mississippi/C00014N/2014	4	4	-	-	2014	FEB	7	nasal swab	USA	-	26386554	2049
MT511447	MT511447	D/bovine/Mississippi/C00014N/2014	-	5	-	-	2014	FEB	7	nasal swab	USA	-	-	1659
MT511448	MT511448	D/bovine/Mississippi/C00014N/2014	-	6	-	-	2014	FEB	7	nasal swab	USA	-	-	1164
MT511449	MT511449	D/bovine/Mississippi/C00014N/2014	-	7	-	-	2014	FEB	7	nasal swab	USA	-	-	819
ON038934	ON038934	D/swine/Luxembourg/0003/2018	4	4	-	-	2018	-	-	nasal swab	Luxembourg	-	-	1995
ON038926	ON038926	D/swine/Luxembourg/0003/2018	5	5	-	-	2018	-	-	nasal swab	Luxembourg	-	-	1659
ON038933	ON038933	D/swine/Luxembourg/0003/2018	7	7	-	-	2018	-	-	nasal swab	France	-	-	729
MT511368	MT511368	D/bovine/Mississippi/C00030P/2014	-	1	-	-	2014	FEB	19	nasopharyngeal swab	USA	-	-	2319
MT511369	MT511369	D/bovine/Mississippi/C00030P/2014	-	2	-	-	2014	FEB	19	nasopharyngeal swab	USA	-	-	2262
MT511370	MT511370	D/bovine/Mississippi/C00030P/2014	-	3	-	-	2014	FEB	19	nasopharyngeal swab	USA	-	-	2133
KT581418	KT581418	D/bovine/Mississippi/C00030P/2014	4	4	-	-	2014	FEB	19	nasopharyngeal swab	USA	-	26386554	2049
MT511371	MT511371	D/bovine/Mississippi/C00030P/2014	-	5	-	-	2014	FEB	19	nasopharyngeal swab	USA	-	-	1659
MT511372	MT511372	D/bovine/Mississippi/C00030P/2014	-	6	-	-	2014	FEB	19	nasopharyngeal swab	USA	-	-	1164
MT511373	MT511373	D/bovine/Mississippi/C00030P/2014	-	7	-	-	2014	FEB	19	nasopharyngeal swab	USA	-	-	819
