taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/AB126191	AB126191	15218173	2365	-	-	-	-	-	-	-	C/Ann Arbor/1/50
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/D30700	D30700	7996155	379	-	-	1985	Homo sapiens	-	-	-	C/Nara/2/85
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/D78393	D78393	8757991	469	-	USA	1980	Homo sapiens	-	-	-	-
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/JX947865	JX947865	23523822	2320	-	India	2011	Homo sapiens	-	-	-	C/Eastern India/1202/2011
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/JX963126	JX963126	-	2247	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-050530/2006
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/JX963127	JX963127	-	2229	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-070170/2006
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/JX963128	JX963128	-	2229	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-070193/2006
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/JX963129	JX963129	-	2242	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-070203/2006
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/KM504277	KM504277	-	2365	-	Australia	2012	Homo sapiens	-	-	-	C/Victoria/2/2012
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/KM507545	KM507545	-	2325	-	India	2012	Homo sapiens	TS/NS	-	-	C/India/P121719/2012
alignment/AL_ICV_SEG1/member/icv-ncbi-curated-segment-1/KM507552	KM507552	-	2325	-	India	2013	Homo sapiens	TS/NS	-	-	C/India/P135047/2013
