strain_id	complete	seq_count	cg_subtype	hn_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment8_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts	segment_8_counts
A/chicken/Vietnam/18/2004	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2004	-	-	Gallus gallus	-	Viet Nam	NULL	CY034205	CY034204	CY034203	CY034198	CY034201	CY034200	CY034199	CY034202	1	1	1	1	1	1	1	1
A/chicken/Bhutan/416/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	FEB	18	Gallus gallus	-	Bhutan	NULL	KX215416	KX215387	KX215364	KJ682282	KX215391	KJ682283	KX215366	KX215377	1	1	1	1	1	1	1	1
A/chicken/Nigeria/08RS848-92/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	JUL	12	Gallus gallus	-	Nigeria	Edo	CY048600	CY048601	CY048602	CY048603	CY048604	CY048605	CY048606	CY048607	1	1	1	1	1	1	1	1
A/avian/Hong Kong/2372/2007	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Aves	live bird market	China	NULL	GU050340	GU050339	GU050338	GU050333	GU050336	GU050335	GU050334	GU050337	1	1	1	1	1	1	1	1
A/duck/Korea/NSQ263/2008	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	APR	22	Anseriformes sp.	-	South Korea	NULL	GQ412038	GQ412044	GQ412050	GQ412054	GQ412062	GQ412068	GQ412074	GQ412080	1	1	1	1	1	1	1	1
A/village chicken/Kyaing Tong/2433/2007	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	-	-	Myanmar	NULL	AB478016	AB478020	AB478024	AB478026	AB478030	AB478034	AB478038	AB478042	1	1	1	1	1	1	1	1
A/Duck/Viet Nam/HU12-1378/2019	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2019	-	-	Anseriformes sp.	swab	Viet Nam	NULL	MT547689	MT547690	MT547691	MT547695	MT547692	MT547696	MT547693	MT547694	1	1	1	1	1	1	1	1
A/swine/Henan/wy/2004	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	-	-	-	-	-	China	NULL	DQ997252	DQ997251	DQ997257	DQ997253	DQ997255	DQ997254	DQ997258	DQ997256	1	1	1	1	1	1	1	1
A/chicken/Sudan/1784-8/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	-	-	Gallus gallus	-	Sudan	NULL	CY020668	CY020667	CY020666	CY020661	CY020664	CY020663	CY020662	CY020665	1	1	1	1	1	1	1	1
A/muscovy duck/Vietnam/LBM670/2014	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2014	-	-	Cairina moschata	-	Viet Nam	NULL	LC010733	LC010734	LC010735	LC010736	LC010737	LC010738	LC010739	LC010740	1	1	1	1	1	1	1	1
A/chicken/Shantou/28/2002(H5N1)	TRUE	8	A3|D1|A5|H5|A8|N1|A|A	H5N1	2002	-	-	Gallus gallus	-	China	NULL	CY029109	CY029110	CY029111	CY028940	CY029112	CY029113	CY029114	CY029115	1	1	1	1	1	1	1	1
A/chicken/Kediri/04160512/2016	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2016	APR	5	Gallus gallus	oropharyngeal swab	Indonesia	East Java	KY614948	KY614949	KY614950	KY614951	KY614952	KY614953	KY614954	KY614955	1	1	1	1	1	1	1	1
A/mink/China/XB/2015	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	JUN	30	Neovison vison	-	China	NULL	KX867870	KX867871	KX867872	KX867873	KX867874	KX867875	KX867876	KX867877	1	1	1	1	1	1	1	1
A/muscovy duck/Vietnam/LBM567/2014	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2014	-	-	Cairina moschata	-	Viet Nam	NULL	AB972680	AB972681	AB972682	AB972683	AB972684	AB972685	AB972686	AB972687	1	1	1	1	1	1	1	1
A/chicken/Nigeria/1047-34/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	-	-	Gallus gallus	-	Nigeria	NULL	CY016954	CY016953	CY016952	CY016947	CY016950	CY016949	CY016948	CY016951	1	1	1	1	1	1	1	1
A/chicken/Miyazaki/9/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	-	-	-	-	Japan	Miyazaki	AB684154	AB684155	AB684156	AB684251	AB684157	AB684158	AB684159	AB684160	1	1	1	1	1	1	1	1
A/duck/Zhejiang/224/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	-	-	Anseriformes sp.	-	China	NULL	JN646693	JN646700	JN646707	JN646714	JN646721	JN646728	JN646735	JN646742	1	1	1	1	1	1	1	1
A/chicken/Bangladesh/32806/2017	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2017	MAY	18	Gallus gallus	-	Bangladesh	NULL	MH135569	MH135578	MH135653	MH135422	MH135658	MH135646	MH135504	MH135421	1	1	1	1	1	1	1	1
A/duck/Ivory Coast/15VIR2742-2/2015	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	APR	13	Anseriformes sp.	-	Cote d'Ivoire	NULL	KU971567	KU971566	KU971569	KU971562	KU971564	KU971563	KU971568	KU971565	1	1	1	1	1	1	1	1
