isolate	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
D/bovine/Hokkaido/HKD2/2019	-	-	2019	-	-	Bos taurus	-	Japan	D/bovine/Hokkaido/HKD2/2019	LC565468	LC565471	LC565474	LC565477	LC565480	LC565483	LC565486
D/swine/Netherlands/PS-497/2021	-	-	2021	MAR	10	Sus scrofa	tracheobronchial swab	Netherlands	D/swine/Netherlands/PS-497/2021	OP474071	OP474072	OP474073	OP474074	OP474075	OP474076	OP474077
D/bovine/Denmark/5195604790-5/2019	-	-	2019	FEB	20	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/5195604790-5/2019	OM468190	OM468212	OM468225	OM468245	OM468261	OM468272	OM468284
D/bovine/California/1908/2019	-	-	2019	-	-	Bos taurus	-	USA	D/bovine/California/1908/2019	MW020319	MW020320	MW020321	MW020322	MW020323	MW020324	MW020325
D/bovine/CHN/JLSL/2021	-	-	2021	DEC	6	Bos taurus	liver of stillbirth fetus	China	D/bovine/CHN/JLSL/2021	OM763674	OM763675	OM763676	OM763677	OM763678	OM763679	OM763680
D/bovine/Namibia/255880/2020	-	-	2020	NOV	10	Bos taurus	nasal swab	Namibia	D/bovine/Namibia/255880/2020	OK513022	OK513023	OK513024	OK513025	OK513026	OK513027	OK513028
D/bovine/Denmark/5246407608-2/2019	-	-	2019	MAR	1	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/5246407608-2/2019	OM468185	OM468202	OM468217	OM468246	OM468253	OM468265	OM468283
D/bovine/Denmark/5358904609-3/2019	-	-	2019	MAR	12	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/5358904609-3/2019	OM468188	OM468203	OM468227	OM468247	OM468259	OM468269	OM468281
D/bovine/Italy/776951/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/776951/2018	MN123940	MN123945	MN123941	MN123946	MN123942	MN123943	MN123944
D/bovine/Denmark/3727003200-7/2020	-	-	2020	MAR	12	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/3727003200-7/2020	OM468197	OM468214	OM468229	OM468233	OM468252	OM468277	OM468292
D/bovine/Denmark/5995505714-9/2020	-	-	2020	FEB	11	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/5995505714-9/2020	OM468200	OM468216	OM468232	OM468236	OM468251	OM468280	OM468295
D/bovine/Northern Ireland/24280/2017	-	-	2017	DEC	1	Bos taurus	-	United Kingdom	D/bovine/Northern Ireland/24280/2017	MK101118	MK101119	MK101120	MK101121	MK101122	MK101123	MK101124
D/swine/Italy/268344-2/2015	-	-	2015	-	-	Sus scrofa	-	Italy	D/swine/Italy/268344-2/2015	KX768817	KX768818	KX768819	KX768820	KX768821	KX768822	KX768823
D/bovine/Italy/31525/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/31525/2018	MK131029	MK131034	MK131030	MK131035	MK131031	MK131032	MK131033
D/bovine/Oklahoma/1544/2018	-	-	2018	NOV	1	Bos taurus	-	USA	D/bovine/Oklahoma/1544/2018	MW632185	MW632186	MW632187	MW632188	MW632189	MW632190	MW632191
D/bovine/Italy/19RS176-11/2018	-	-	2018	MAR	29	Bos taurus	-	Italy	D/bovine/Italy/19RS176-11/2018	MN173616	MN173615	MN173613	MN173611	MN173612	MN173614	MN173617
D/bovine/Italy/3525/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/3525/2018	MN165217	MN165218	MN165220	MN165223	MN165222	MN165219	MN165221
D/bovine/California/0894/2019	-	-	2019	-	-	Bos taurus	-	USA	D/bovine/California/0894/2019	MW020312	MW020313	MW020314	MW020315	MW020316	MW020317	MW020318
D/bovine/Italy/1/2014	-	-	2014	-	-	Bos taurus	-	Italy	D/bovine/Italy/1/2014	KT592516	KT592521	KT592517	KT592522	KT592518	KT592519	KT592520
D/swine/Italy/18VIR6833/2015	-	-	2015	-	-	Sus scrofa	-	Italy	D/swine/Italy/18VIR6833/2015	MK965388	MK965372	MK965341	MK965278	MK965299	MK965343	MK965320
D/bovine/Denmark/5161205135-5/2019	-	-	2019	JAN	15	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/5161205135-5/2019	OM468194	OM468209	OM468220	OM468239	OM468257	OM468273	OM468288
