taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/AY504603	AY504603	15763145	1844	-	Australia	2000	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Victoria/504/2000
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/AY504619	AY504619	15763145	1844	-	-	-	-	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Hong Kong/330/2001 egg adapted
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/AY687398	AY687398	-	1763	-	China	-	-	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Beijing/76/98
alignment/AL_IBV_SEG5/member/ibv-ncbi-refseqs-seg5/CQ903177	CQ903177	-	1841	Hong Kong	China	1973	Homo sapiens	-	-	-	-
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY239168	CY239168	-	1683	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-002/2015
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY239184	CY239184	-	1683	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-007/2015
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY239192	CY239192	-	1809	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-008/2015
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY239208	CY239208	-	1790	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-011/2015
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY239216	CY239216	-	1789	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-015/2015
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY239224	CY239224	-	1683	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-016/2015
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY239251	CY239251	-	1788	-	USA	2015	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/WC-LVD-15-023/2015
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243303	CY243303	-	1774	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/7920_07/2014
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243311	CY243311	-	1777	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/7488_09/2014
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243319	CY243319	-	1809	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/1660_02/2014
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243327	CY243327	-	1683	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/7558_06/2014
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243335	CY243335	-	1809	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/7699_03/2014
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243343	CY243343	-	1809	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/7567_05/2014
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243351	CY243351	-	1683	-	Nicaragua	2014	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/Nicaragua/8070_02/2014
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243359	CY243359	-	1809	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/6714_03/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243367	CY243367	-	1683	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/8733_09/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243375	CY243375	-	1790	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/6104_08/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243383	CY243383	-	1786	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/6738_08/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243391	CY243391	-	1790	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/9095_03/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243399	CY243399	-	1802	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/9475_04/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243407	CY243407	-	1683	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/8778_07/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY243415	CY243415	-	1809	-	Nicaragua	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/Nicaragua/5906_02/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262864	CY262864	-	1809	-	USA	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/New York/B-WC-LVD-16-002/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262872	CY262872	-	1790	-	USA	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/New York/B-WC-LVD-16-012/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262888	CY262888	-	1786	-	USA	2016	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/B-WC-LVD-16-019/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262896	CY262896	-	1809	-	USA	2016	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/New York/B-WC-LVD-16-021/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262904	CY262904	-	1774	-	USA	2016	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/B-WC-LVD-16-001/2016
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262912	CY262912	-	1786	-	USA	2017	Homo sapiens	-	nk|nk|nk|Victoria|nk|nk|nk|nk	Victoria-	B/New York/B-WC-LVD-17-002/2017
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262920	CY262920	-	1785	-	USA	2017	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/B-WC-LVD-17-004/2017
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262928	CY262928	-	1786	-	USA	2017	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/B-WC-LVD-17-005/2017
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262936	CY262936	-	1683	-	USA	2017	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/B-WC-LVD-17-006/2017
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262944	CY262944	-	1785	-	USA	2017	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/B-WC-LVD-17-007/2017
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262952	CY262952	-	1786	-	USA	2017	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/B-WC-LVD-17-008/2017
alignment/AL_IBV_SEG5/member/ibv-ncbi-curated-segment-5/CY262960	CY262960	-	1683	-	USA	2017	Homo sapiens	-	nk|nk|nk|Yamagata|nk|nk|nk|nk	Yamagata-	B/New York/B-WC-LVD-17-010/2017
