taxon	sequenceID	Pubmed ID	length	gb_segment	name	full_name	lab_construct	isolate	sample_date	place_sampled	country	collection_year	host_sci_name
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AB036782	AB036782	-	2341	1	-	Influenza A virus (A/X-31(H3N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AB049153	AB049153	11238878	2280	1	-	Influenza A virus (A/parakeet/Chiba/1/97(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AB049154	AB049154	11238878	2280	1	-	Influenza A virus (A/parakeet/Narita/92A/98(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AB101671	AB101671	12753908	1410	1	-	Influenza A virus (A/Japan/305/1957(H2N2))	-	-	-	-	-	-	Homo sapiens
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AB126626	AB126626	-	2277	1	-	Influenza A virus (A/Yokohama/22/2002(H1N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AB126635	AB126635	-	2280	1	-	Influenza A virus (A/Yokohama/47/2002(H1N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222622	AF222622	11000205	1302	1	-	Influenza A virus (A/Quail/Hong Kong/A17/99(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222623	AF222623	11000205	1302	1	-	Influenza A virus (A/Pigeon/Hong Kong/FY6/99(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222624	AF222624	11000205	1302	1	-	Influenza A virus (A/Chicken/Hong Kong/NT16/99(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222625	AF222625	11000205	1302	1	-	Influenza A virus (A/Quail/Hong Kong/SSP10/99(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222626	AF222626	11000205	1302	1	-	Influenza A virus (A/pheasant/Hong Kong/SSP11/99(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222627	AF222627	11000205	1302	1	-	Influenza A virus (A/Chicken/Hong Kong/FY20/99(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222628	AF222628	11000205	1302	1	-	Influenza A virus (A/Chicken/Hong Kong/KC12/99(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222629	AF222629	11000205	1302	1	-	Influenza A virus (A/Quail/Hong Kong/NT28/99(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222630	AF222630	11000205	1302	1	-	Influenza A virus (A/Chicken/Hong Kong/SF2/99(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222631	AF222631	11000205	1302	1	-	Influenza A virus (A/Silky Chicken/Hong Kong/SF44/99(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222816	AF222816	11559800	2280	1	-	Influenza A virus (A/swine/Hong Kong/9/98(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF222817	AF222817	11559800	2280	1	-	Influenza A virus (A/swine/Hong Kong/10/98(H9N2))	-	-	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF225514	AF225514	-	2280	1	-	Influenza A virus (A/sw/Shizuoka/110/97(H3N2))	-	A/sw/Shizuoka/110/97	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF225515	AF225515	-	2280	1	-	Influenza A virus (A/sw/Shizuoka/115/97(H3N2))	-	A/sw/Shizuoka/115/97	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF225516	AF225516	-	2280	1	-	Influenza A virus (A/sw/Shizuoka/119/97(H3N2))	-	A/sw/Shizuoka/119/97	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF225517	AF225517	-	2280	1	-	Influenza A virus (A/swine/Shizuoka/120/97(H3N2))	-	A/sw/Shizuoka/120/97	-	-	-	-	-
alignment/AL_IAV_SEG1/member/ncbi-nuccore-iav/AF250476	AF250476	10864640	2280	1	-	Influenza A virus (A/Teal/Hong Kong/W312/97(H6N1))	-	-	-	-	-	-	-
