taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/D78441	D78441	8757991	341	-	-	1985	Homo sapiens	-	-	-	-
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/JX947867	JX947867	23523822	924	-	India	2011	Homo sapiens	-	-	-	C/Eastern India/1202/2011
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/JX963114	JX963114	-	863	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-050530/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/JX963115	JX963115	-	830	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-070170/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/JX963116	JX963116	-	822	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-070193/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/JX963117	JX963117	-	863	-	Singapore	2006	Homo sapiens	-	-	-	C/Singapore/DSO-070203/2006
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/KM504283	KM504283	-	935	-	Australia	2012	Homo sapiens	-	-	-	C/Victoria/2/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/KM507551	KM507551	-	790	-	India	2012	Homo sapiens	TS/NS	-	-	C/India/P121719/2012
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/KM507558	KM507558	-	858	-	India	2013	Homo sapiens	TS/NS	-	-	C/India/P135047/2013
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/KT232088	KT232088	-	923	-	India	2011	Homo sapiens	TS/NS	-	-	C/India/P119564/2011
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/KT835367	KT835367	26655269	737	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	-	C/Scotland/7482/2007
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/KT835368	KT835368	26655269	737	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	-	C/Scotland/7383/2007
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/KT835369	KT835369	26655269	737	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	-	C/Scotland/7274/2007
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/KT835370	KT835370	26655269	735	-	United Kingdom	2007	Homo sapiens	respiratory sample	-	-	C/Scotland/6855/2007
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/LC124978	LC124978	27384661	880	-	USA	1954	Homo sapiens	-	-	-	C/Great Lakes/1167/1954
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/LC124987	LC124987	27384661	862	-	Japan	2002	Homo sapiens	-	-	-	C/Yamagata/5/2002
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/LC124989	LC124989	27384661	862	-	Japan	2002	Homo sapiens	-	-	-	C/Miyagi/4/2002
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/LC124990	LC124990	27384661	862	-	Japan	2002	Homo sapiens	-	-	-	C/Miyagi/11/2002
alignment/AL_ICV_SEG7/member/icv-ncbi-curated-segment-7/LC124991	LC124991	27384661	862	-	Japan	2002	Homo sapiens	-	-	-	C/Miyagi/20/2002
