sequenceID	Subtype
AB899777	Aichi
AB252153	Kanagawa
AB252156	Kanagawa
AB252157	Kanagawa
GQ853452	Kanagawa
GQ853453	Kanagawa
GQ853454	Kanagawa
GQ853455	Kanagawa
JX947861	Kanagawa
KM507555	Kanagawa
KT835353	Kanagawa
LC122638	Kanagawa
LC122639	Kanagawa
LC122640	Kanagawa
LC122642	Kanagawa
LC122643	Kanagawa
LC122646	Kanagawa
LC122647	Kanagawa
LC122649	Kanagawa
LC122651	Kanagawa
LC122652	Kanagawa
LC122654	Kanagawa
LC122655	Kanagawa
LC122657	Kanagawa
LC122667	Kanagawa
LC122669	Kanagawa
LC122671	Kanagawa
LC122674	Kanagawa
LC603648	Kanagawa
MH828688	Kanagawa
MZ330881	Kanagawa
MZ330888	Kanagawa
MZ330895	Kanagawa
MZ330909	Kanagawa
MZ330916	Kanagawa
MZ330944	Kanagawa
MZ330951	Kanagawa
MZ330958	Kanagawa
MZ330965	Kanagawa
MZ330972	Kanagawa
MZ330979	Kanagawa
MZ330986	Kanagawa
MZ331000	Kanagawa
LC122635	Mississippi
LC122645	Mississippi
MH348116	Mississippi
KM504280	SaoPaolo
KM507548	SaoPaolo
KT232085	SaoPaolo
KT835351	SaoPaolo
KT835352	SaoPaolo
KT835354	SaoPaolo
LC122644	SaoPaolo
LC122648	SaoPaolo
LC122650	SaoPaolo
LC122653	SaoPaolo
LC122656	SaoPaolo
LC122658	SaoPaolo
LC122659	SaoPaolo
LC122660	SaoPaolo
LC122661	SaoPaolo
LC122662	SaoPaolo
LC122663	SaoPaolo
LC122664	SaoPaolo
LC122665	SaoPaolo
LC122666	SaoPaolo
LC122668	SaoPaolo
LC122670	SaoPaolo
LC122672	SaoPaolo
LC122673	SaoPaolo
LC122675	SaoPaolo
LC122676	SaoPaolo
LC122677	SaoPaolo
LC122678	SaoPaolo
LC327655	SaoPaolo
LC327662	SaoPaolo
LC720285	SaoPaolo
MK050092	SaoPaolo
MZ330902	SaoPaolo
MZ330923	SaoPaolo
MZ330930	SaoPaolo
MZ330937	SaoPaolo
MZ330993	SaoPaolo
MZ331007	SaoPaolo
OK254888	SaoPaolo
OK254895	SaoPaolo
AB035357	Taylor
NC_006310	Taylor
D30697	Yamagata
LC122633	Yamagata
LC122634	Yamagata
LC122641	Yamagata
LC603641	Yamagata
