taxon	sequenceID	Pubmed ID	length	gb_segment	name	full_name	lab_construct	isolate	sample_date	place_sampled	country	collection_year	host_sci_name
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB036866	AB036866	-	1408	6	-	Influenza B virus (B/Saga/S172/99)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB036867	AB036867	-	1408	6	-	Influenza B virus (B/Kouchi/193/1999)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB036868	AB036868	-	1408	6	-	Influenza B virus (B/Nagoya/20/99)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB036869	AB036869	-	1458	6	-	Influenza B virus (B/Yamanashi/166/1998)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB036870	AB036870	-	1408	6	-	Influenza B virus (B/Victoria/2/1987)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB036871	AB036871	-	1408	6	-	Influenza B virus (B/Chiba/447/98)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB036872	AB036872	-	1408	6	-	Influenza B virus (B/Mie/01/1993)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB036873	AB036873	-	1408	6	-	Influenza B virus (B/Shiga/T30/98)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB120240	AB120240	15258979	1408	6	-	Influenza B virus (B/Yamagata/K270/2001)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB120241	AB120241	15258979	1408	6	-	Influenza B virus (B/Yamagata/K320/2001)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB120242	AB120242	15258979	1408	6	-	Influenza B virus (B/Yamagata/K386/2001)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB120243	AB120243	15258979	1408	6	-	Influenza B virus (B/Yamagata/K461/2001)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB120244	AB120244	15258979	1408	6	-	Influenza B virus (B/Yamagata/K490/2001)	-	-	-	-	-	-	-
alignment/AL_IBV_SEG6/member/ncbi-nuccore-ibv/AB120245	AB120245	15258979	1408	6	-	Influenza B virus (B/Yamagata/K500/2001)	-	-	-	-	-	-	-
