taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KF425657	KF425657	24595369	1219	-	USA	2013	Bos taurus	-	-	-	D/bovine/Minnesota/628/2013
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KF425664	KF425664	24595369	1219	-	USA	2013	Bos taurus	-	-	-	D/bovine/Oklahoma/660/2013
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KF425671	KF425671	24595369	1164	-	USA	2013	Bos taurus	-	-	-	D/bovine/Minnesota/729/2013
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KM015496	KM015496	25142163	1219	-	China	2014	Bos taurus	-	-	-	D/bovine/Shandong/Y125/2014
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KM015503	KM015503	25142163	1219	-	China	2014	Bos taurus	-	-	-	D/bovine/Shandong/Y127/2014
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KM015510	KM015510	25142163	1219	-	China	2014	Bos taurus	-	-	-	D/bovine/Shandong/Y217/2014
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KM392473	KM392473	-	1219	-	USA	2012	Bos taurus	-	-	-	D/bovine/Nebraska/9-5/2012
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KM392480	KM392480	-	1219	-	USA	2010	Bos taurus	-	-	-	D/bovine/Kansas/1-35/2010
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KM392487	KM392487	-	1219	-	USA	2011	Bos taurus	-	-	-	D/bovine/Texas/3-13/2011
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KM392494	KM392494	-	1219	-	USA	2012	Bos taurus	-	-	-	D/bovine/Kansas/13-21/2012
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KM392501	KM392501	-	1219	-	USA	2012	Bos taurus	-	-	-	D/bovine/Kansas/14-22/2012
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KM392508	KM392508	-	1219	-	USA	2012	Bos taurus	-	-	-	D/bovine/Kansas/11-8/2012
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KT581414	KT581414	26386554	1219	-	USA	2014	Bos taurus; 6 to 8 months	nasal swab	-	-	D/bovine/Mississippi/C00046N/2014
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KT592519	KT592519	26812282	1219	-	Italy	2014	Bos taurus	-	-	-	D/bovine/Italy/1/2014
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KT592528	KT592528	26812282	1197	-	Italy	2015	Bos taurus	-	-	-	D/bovine/Italy/46484/2015
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KT592535	KT592535	26812282	1219	-	Italy	2015	Sus scrofa	-	-	-	D/swine/Italy/199724-3/2015
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KU710430	KU710430	27154756	1219	-	Mexico	2015	Bos taurus	-	-	-	D/bovine/Mexico/S7/2015
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KU710431	KU710431	27154756	1219	-	Mexico	2015	Bos taurus	-	-	-	D/bovine/Mexico/S8/2015
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KU710432	KU710432	27154756	1219	-	Mexico	2015	Bos taurus	-	-	-	D/bovine/Mexico/S56/2015
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KU710433	KU710433	27154756	1219	-	Mexico	2015	Bos taurus	-	-	-	D/bovine/Mexico/S62/2015
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KX768822	KX768822	28916759	1220	-	Italy	2015	Sus scrofa	-	-	-	D/swine/Italy/268344-2/2015
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KX768829	KX768829	28916759	1219	-	Italy	2016	Sus scrofa	-	-	-	D/swine/Italy/173287-4/2016
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KX768836	KX768836	28916759	1219	-	Italy	2015	Sus scrofa	-	-	-	D/swine/Italy/254578/2015
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/KX768843	KX768843	28916759	1219	-	Italy	2015	Sus scrofa	-	-	-	D/swine/Italy/354017/2015
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/LC128434	LC128434	27434213	1219	-	Japan	2016	Bos taurus	-	-	-	D/bovine/Ibaraki/7768/2016
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/LC270270	LC270270	29143492	1219	-	Japan	2016	Bos taurus	-	-	-	D/bovine/Miyazaki/B22/2016
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/LC318670	LC318670	29321324	1219	-	Japan	2016	Bos taurus	-	-	-	D/bovine/Yamagata/10710/2016
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/MG720240	MG720240	-	1162	-	France	2014	Bos taurus	lung fragment	-	-	D/bovine/France/5920/2014
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/MK054183	MK054183	-	1164	-	USA	2017	Sus scrofa	nasal swab	-	-	D/swine/Kentucky/17TOSU1262/2017
alignment/AL_IDV_SEG6/member/idv-ncbi-curated-segment-6/MK101123	MK101123	-	1168	-	United Kingdom	2017	Bos taurus	-	-	-	D/bovine/Northern Ireland/24280/2017
alignment/AL_IDV_SEG6/member/idv-ncbi-refseqs-seg6/NC_036620	NC_036620	23408893	1219	NULL	USA	2011	Sus scrofa	-	-	-	D/swine/Oklahoma/1334/2011
