taxon	sequenceID	pubmed_id	length	iso_region	iso_country	iso_year	iso_host	iso_source	cg_subtype	hn_subtype	strain
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY005134	CY005134	16439620	1027	Delaware	USA	1988	Aves	-	B8|E1|A10|H9|A11|N6|A|A	H9N6	A/ruddy turnstone/DE/510/1988
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY005274	CY005274	16439620	1027	-	Canada	1983	Aves	-	B8|E1|A10|H11|A11|N3|B|A	H11N3	A/mallard duck/ALB/797/1983
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY005365	CY005365	16439620	1027	Delaware	USA	2000	Aves	-	B9|E1|A3|H12|A11|N5|B|A	H12N5	A/ruddy turnstone/DE/97/2000
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY014680	CY014680	16439620	1027	England	United Kingdom	1956	Anseriformes sp.	-	A3|E1|A7|H11|A8|N6|A|A	H11N6	A/duck/England/1956
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY018016	CY018016	-	983	-	USA	1986	Anas platyrhynchos	gender:M	B3|E1|A8|H11|A11|N3|B|A	H11N3	A/mallard/Ohio/102/1986
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY021142	CY021142	-	990	-	USA	2005	Anas platyrhynchos	gender:M; age:adult	B10|E1|A10|H11|A11|N3|B|B	H11N3	A/mallard/Missouri/MO130/2005
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY021254	CY021254	-	984	-	USA	1993	Anas platyrhynchos	gender:M; age:immature	B5|E1|A10|H11|A11|N3|B|B	H11N3	A/mallard/Ohio/94/1993
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY067681	CY067681	22427902	1027	Santa Rosa	Guatemala	2008	Anas discors	cloacal swab	B9|E1|A3|H7|A11|N9|B|A	H7N9	A/blue-winged teal/Guatemala/CIP049-02/2008
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY075057	CY075057	-	1027	Guangxi	China	2007	Sus scrofa	Nasal Swab	A3|D1|A11|H9|A8|N2|A|A	H9N2	A/swine/Guangxi/10/2007
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY076326	CY076326	-	1002	-	USA	2006	Anas platyrhynchos	-	B9|E1|A10|H11|A11|N3|B|A	H11N3	A/mallard/Washington/44256-522/2006
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY076707	CY076707	-	994	-	Thailand	2009	Anseriformes sp.	cloacal swab	A5|D1|A12|H11|A8|N3|A|A	H11N3	A/duck/Thailand/CU5388/2009
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY076715	CY076715	-	994	-	Thailand	2009	Anseriformes sp.	cloacal swab	A5|D1|A12|H11|A8|N3|A|A	H11N3	A/duck/Thailand/CU5408/2009
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY079172	CY079172	-	1002	Minto Flats, Interior Alaska	USA	2008	Anas acuta	-	B4|E1|A11|H3|A11|N8|B|B	H3N8	A/northern pintail/Interior Alaska/8BM3731/2008
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY096651	CY096651	22427902	1027	Santa Rosa	Guatemala	2010	Anas discors	Cloacal swab	B9|E1|A3|H8|A11|N4|B|A	H8N4	A/blue-winged teal/Guatemala/CIP049-04/2010
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY096943	CY096943	-	991	-	USA	2009	Anas platyrhynchos	-	B10|E1|A11|H11|A11|N3|B|A	H11N3	A/mallard/Illinois/3051/2009
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY125010	CY125010	23043179	1027	-	China	2011	Anseriformes sp.	-	A3|D1|A5|H11|A8|N3|A|A	H11N3	A/duck/Jiangsu/10-d4/2011
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY127041	CY127041	-	1002	-	USA	1994	Arenaria interpres	-	B4|E1|A8|H11|A11|N3|A|A	H11N3	A/ruddy turnstone/Delaware Bay/39/1994
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY133118	CY133118	-	1002	-	-	-	-	-	-	-	A/bufflehead/Wisconsin/10OS3214/2010
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY133703	CY133703	-	1002	-	-	-	-	-	-	-	A/American green-winged teal/Mississippi/11OS259/2011
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY133870	CY133870	-	1002	-	USA	2010	Anas platyrhynchos	-	B10|E1|A10|H11|A11|N3|B|B	H11N3	A/mallard/Missouri/10MO0550/2010
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY136816	CY136816	-	1002	-	-	-	-	-	-	-	A/ruddy turnstone/Delaware Bay/161/1994
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY144350	CY144350	-	1002	-	-	-	-	-	-	-	A/ruddy turnstone/Delaware/650612/2002
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY144588	CY144588	-	1002	-	USA	2005	Anas discors	-	B9|E1|A3|H11|A11|N3|B|A	H11N3	A/blue-winged teal/North Carolina/NC674-362/2005
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY166713	CY166713	-	1002	-	USA	2011	Anas platyrhynchos	-	B9|E1|A3|H11|A11|N3|B|A	H11N3	A/mallard/Wisconsin/11OS4362/2011
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY167136	CY167136	-	1002	-	USA	2012	Anas platyrhynchos	-	B10|E1|A3|H11|A11|N3|B|A	H11N3	A/mallard/Arkansas/12OS140/2012
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY186741	CY186741	-	1002	-	USA	2012	Anas discors	-	B9|E1|A10|H11|A11|N3|B|A	H11N3	A/blue-winged teal/Illinois/12OS2951/2012
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY186888	CY186888	-	1002	-	USA	2012	Anas discors	-	B4|E1|A10|H11|A11|N3|B|B	H11N3	A/blue-winged teal/Ohio/12OS2241/2012
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/CY187145	CY187145	-	1002	-	-	-	-	-	-	-	A/American green-winged teal/Wisconsin/12OS4577/2012
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/CY241064	CY241064	-	982	Cape May Co., NJ	USA	2016	Environment	-	B10|E1|A3|H10|A5|N2|B|B	H10N2	A/environment/New Jersey/UGAI16-1117/2016
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/DQ376659	DQ376659	17274295	1027	NULL	Taiwan	1999	Gallus gallus	-	A3|D1|A12|H6|A8|N1|A|A	H6N1	A/chicken/Taiwan/0705/99
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/EU030987	EU030987	17997603	1002	NULL	USA	2006	Leucophaeus atricilla	allantoic fluid harvested from an infected egg	B10|E1|A3|H7|A11|N3|B|A	H7N3	A/laughing gull/Delaware/42/06
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/KJ361901	KJ361901	-	1027	-	USA	2004	Anas platyrhynchos	cloacal swab	B9|E1|A11|H11|A11|N3|B|B	H11N3	A/call duck/Maryland/S698/2004
alignment/AL_IAV_SEG7/member/iav-ncbi-curated-segment-7/KJ413544	KJ413544	25056712	961	-	USA	2013	Anas discors	-	B10|E1|A3|H11|A11|N3|B|A	H11N3	A/blue-winged teal/TX/AI13-1009/2013
alignment/AL_IAV_SEG7/member/iav-ncbi-refseqs-seg7/KU322442	KU322442	28791803	1003	NULL	Italy	2012	Homo sapiens	-	B2|C1|A1|H3|A2|N2|B2|A	H3N2	A/Parma/58/2012
